Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
2917636,2018-11-28 13:00:51,0,OXY6 (PSt7-10),2018-06-27 09:56:38,default,105.477367917884,μmol/L,34.1528252485837,°C,1001,hPa,Humid,36,0,0,25.775,151716.882618691,377544.870338346,28,24,0
2917644,2018-11-28 13:00:52,0.0235620566666667,OXY6 (PSt7-10),2018-06-27 09:56:38,default,105.494725553612,μmol/L,34.1528252485837,°C,1001,hPa,Humid,36,0,0,25.773,151705.633210215,377489.850258831,28,24,0
2917654,2018-11-28 13:00:53,0.04022457,OXY6 (PSt7-10),2018-06-27 09:56:38,default,105.460013526358,μmol/L,34.1528252485837,°C,1001,hPa,Humid,36,0,0,25.777,151682.310507496,377456.609349731,28,24,0
2917662,2018-11-28 13:00:54,0.0565407166666667,OXY6 (PSt7-10),2018-06-27 09:56:38,default,105.442662378194,μmol/L,34.1528252485837,°C,1001,hPa,Humid,36,0,0,25.779,151675.969781158,377430.614130277,28,24,0
2917668,2018-11-28 13:00:55,0.0737804,OXY6 (PSt7-10),2018-06-27 09:56:38,default,105.44819238135,μmol/L,34.1466712458177,°C,1001,hPa,Humid,36,0,0,25.781,151666.402651562,377427.992095839,28,24,0
2917684,2018-11-28 13:00:56,0.08981626,OXY6 (PSt7-10),2018-06-27 09:56:38,default,105.442662378194,μmol/L,34.1528252485837,°C,1001,hPa,Humid,36,0,0,25.779,151667.409750395,377399.4566616,28,24,0
2917688,2018-11-28 13:00:57,0.10665051,OXY6 (PSt7-10),2018-06-27 09:56:38,default,105.433988020111,μmol/L,34.1528252485837,°C,1001,hPa,Humid,36,0,0,25.78,151662.702616357,377387.610331608,28,24,0
2917695,2018-11-28 13:00:58,0.12345955,OXY6 (PSt7-10),2018-06-27 09:56:38,default,105.390628385495,μmol/L,34.1528252485837,°C,1001,hPa,Humid,36,0,0,25.785,151658.88732043,377383.205964131,28,24,0
2917708,2018-11-28 13:00:59,0.140391656666667,OXY6 (PSt7-10),2018-06-27 09:56:38,default,105.416641735419,μmol/L,34.1528252485837,°C,1001,hPa,Humid,36,0,0,25.782,151680.368370973,377390.654723783,28,24,0
2917720,2018-11-28 13:01:00,0.157400436666667,OXY6 (PSt7-10),2018-06-27 09:56:38,default,105.367758071741,μmol/L,34.1589792626555,°C,1001,hPa,Humid,36,0,0,25.785,151684.12035192,377408.360257964,28,24,0
2917726,2018-11-28 13:01:01,0.173269898333333,OXY6 (PSt7-10),2018-06-27 09:56:38,default,105.390628385495,μmol/L,34.1528252485837,°C,1001,hPa,Humid,36,0,0,25.785,151674.772791295,377367.320173872,28,24,0
2917737,2018-11-28 13:01:02,0.190146695,OXY6 (PSt7-10),2018-06-27 09:56:38,default,105.350423616385,μmol/L,34.1589792626555,°C,1001,hPa,Humid,36,0,0,25.787,151679.235757837,377372.717341512,28,24,0
2917741,2018-11-28 13:01:03,0.207011541666667,OXY6 (PSt7-10),2018-06-27 09:56:38,default,105.373290202399,μmol/L,34.1528252485837,°C,1001,hPa,Humid,36,0,0,25.787,151675.675513827,377380.412154193,28,24,0
2917754,2018-11-28 13:01:04,0.223835766666667,OXY6 (PSt7-10),2018-06-27 09:56:38,default,105.333092399508,μmol/L,34.1589792626555,°C,1001,hPa,Humid,36,0,0,25.789,151683.671629366,377372.516130593,28,24,0
2917762,2018-11-28 13:01:05,0.23984249,OXY6 (PSt7-10),2018-06-27 09:56:38,default,105.355955258477,μmol/L,34.1528252485837,°C,1001,hPa,Humid,36,0,0,25.789,151677.313028297,377365.070396651,28,24,0
2917772,2018-11-28 13:01:06,0.256710395,OXY6 (PSt7-10),2018-06-27 09:56:38,default,105.34175760319,μmol/L,34.1589792626555,°C,1001,hPa,Humid,36,0,0,25.788,151682.863470123,377368.559661882,28,24,0
2917779,2018-11-28 13:01:07,0.273601073333333,OXY6 (PSt7-10),2018-06-27 09:56:38,default,105.324428005238,μmol/L,34.1589792626555,°C,1001,hPa,Humid,36,0,0,25.79,151686.307018086,377374.116636524,28,24,0
2917786,2018-11-28 13:01:08,0.290440641666667,OXY6 (PSt7-10),2018-06-27 09:56:38,default,105.315764420273,μmol/L,34.1589792626555,°C,1001,hPa,Humid,36,0,0,25.791,151687.693205257,377373.370841264,28,24,0
2917797,2018-11-28 13:01:09,0.306427725,OXY6 (PSt7-10),2018-06-27 09:56:38,default,105.275584406753,μmol/L,34.1651332880333,°C,1001,hPa,Humid,36,0,0,25.793,151683.872685256,377371.374989291,28,24,0
2917807,2018-11-28 13:01:10,0.323309505,OXY6 (PSt7-10),2018-06-27 09:56:38,default,105.324428005238,μmol/L,34.1589792626555,°C,1001,hPa,Humid,36,0,0,25.79,151697.02223285,377356.993426559,28,24,0
2917816,2018-11-28 13:01:11,0.340229623333333,OXY6 (PSt7-10),2018-06-27 09:56:38,default,105.355955258477,μmol/L,34.1528252485837,°C,1001,hPa,Humid,36,0,0,25.789,151694.45395444,377361.510299936,28,24,0
2917824,2018-11-28 13:01:12,0.357176261666667,OXY6 (PSt7-10),2018-06-27 09:56:38,default,105.321295084802,μmol/L,34.1528252485837,°C,1001,hPa,Humid,36,0,0,25.793,151695.300990859,377355.506512135,28,24,0
2917831,2018-11-28 13:01:13,0.373205111666667,OXY6 (PSt7-10),2018-06-27 09:56:38,default,105.28111817138,μmol/L,34.1589792626555,°C,1001,hPa,Humid,36,0,0,25.795,151695.286730596,377357.779936202,28,24,0
2917842,2018-11-28 13:01:14,0.390054345,OXY6 (PSt7-10),2018-06-27 09:56:38,default,105.28111817138,μmol/L,34.1589792626555,°C,1001,hPa,Humid,36,0,0,25.795,151701.095762535,377356.468852653,28,24,0
2917849,2018-11-28 13:01:15,0.406891923333333,OXY6 (PSt7-10),2018-06-27 09:56:38,default,105.272458631375,μmol/L,34.1589792626555,°C,1001,hPa,Humid,36,0,0,25.796,151708.646075373,377362.053915667,28,24,0
2917860,2018-11-28 13:01:16,0.423820033333333,OXY6 (PSt7-10),2018-06-27 09:56:38,default,105.263799900049,μmol/L,34.1589792626555,°C,1001,hPa,Humid,36,0,0,25.797,151698.881522809,377358.385111924,28,24,0
2917869,2018-11-28 13:01:17,0.439817991666667,OXY6 (PSt7-10),2018-06-27 09:56:38,default,105.28111817138,μmol/L,34.1589792626555,°C,1001,hPa,Humid,36,0,0,25.795,151698.719849025,377352.305136807,28,24,0
2917875,2018-11-28 13:01:18,0.456729758333333,OXY6 (PSt7-10),2018-06-27 09:56:38,default,105.286647857777,μmol/L,34.1528252485837,°C,1001,hPa,Humid,36,0,0,25.797,151695.921956598,377354.47520908,28,24,0
2917887,2018-11-28 13:01:19,0.473532575,OXY6 (PSt7-10),2018-06-27 09:56:38,default,105.246484863015,μmol/L,34.1589792626555,°C,1001,hPa,Humid,36,0,0,25.799,151750.312255689,377348.239382998,28,24,0
2917893,2018-11-28 13:01:20,0.490360985,OXY6 (PSt7-10),2018-06-27 09:56:38,default,105.240952078174,μmol/L,34.1651332880333,°C,1001,hPa,Humid,36,0,0,25.797,151699.201406955,377351.901762145,28,24,0
2917904,2018-11-28 13:01:21,0.507196813333333,OXY6 (PSt7-10),2018-06-27 09:56:38,default,105.223640764705,μmol/L,34.1651332880333,°C,1001,hPa,Humid,36,0,0,25.799,151733.367501008,377361.025729982,28,24,0
2917915,2018-11-28 13:01:22,0.523327786666667,OXY6 (PSt7-10),2018-06-27 09:56:38,default,105.223640764705,μmol/L,34.1651332880333,°C,1001,hPa,Humid,36,0,0,25.799,151736.739315942,377362.80860833,28,24,0
2917921,2018-11-28 13:01:23,0.540288313333333,OXY6 (PSt7-10),2018-06-27 09:56:38,default,105.223640764705,μmol/L,34.1651332880333,°C,1001,hPa,Humid,36,0,0,25.799,151746.939680848,377346.38749586,28,24,0
2917932,2018-11-28 13:01:24,0.557182616666667,OXY6 (PSt7-10),2018-06-27 09:56:38,default,105.237828557098,μmol/L,34.1589792626555,°C,1001,hPa,Humid,36,0,0,25.8,151740.920697072,377342.039236117,28,24,0
2917938,2018-11-28 13:01:25,0.573186408333333,OXY6 (PSt7-10),2018-06-27 09:56:38,default,105.229173059442,μmol/L,34.1589792626555,°C,1001,hPa,Humid,36,0,0,25.801,151744.161800858,377350.194005686,28,24,0
2917948,2018-11-28 13:01:26,0.59004941,OXY6 (PSt7-10),2018-06-27 09:56:38,default,105.24335702003,μmol/L,34.1528252485837,°C,1001,hPa,Humid,36,0,0,25.802,151741.046946468,377331.746719096,28,24,0
2917959,2018-11-28 13:01:27,0.606860855,OXY6 (PSt7-10),2018-06-27 09:56:38,default,105.192144217817,μmol/L,34.171287324717,°C,1001,hPa,Humid,36,0,0,25.8,151736.645187665,377344.455440823,28,24,0
2917971,2018-11-28 13:01:28,0.6237805,OXY6 (PSt7-10),2018-06-27 09:56:38,default,105.220518369941,μmol/L,34.1589792626555,°C,1001,hPa,Humid,36,0,0,25.802,151740.048989434,377333.406477586,28,24,0
2917980,2018-11-28 13:01:29,0.640585581666667,OXY6 (PSt7-10),2018-06-27 09:56:38,default,105.206332684004,μmol/L,34.1651332880333,°C,1001,hPa,Humid,36,0,0,25.801,151732.425764685,377332.881397775,28,24,0
2917984,2018-11-28 13:01:30,0.656571513333333,OXY6 (PSt7-10),2018-06-27 09:56:38,default,105.183492442855,μmol/L,34.171287324717,°C,1001,hPa,Humid,36,0,0,25.801,151736.03305905,377322.493542142,28,24,0
2917996,2018-11-28 13:01:31,0.673459141666667,OXY6 (PSt7-10),2018-06-27 09:56:38,default,105.211864488493,μmol/L,34.1589792626555,°C,1001,hPa,Humid,36,0,0,25.803,151743.112549884,377323.818732633,28,24,0
2918002,2018-11-28 13:01:32,0.690282403333333,OXY6 (PSt7-10),2018-06-27 09:56:38,default,105.197679855681,μmol/L,34.1651332880333,°C,1001,hPa,Humid,36,0,0,25.802,151747.83027665,377337.475944455,28,24,0
2918015,2018-11-28 13:01:33,0.707127471666667,OXY6 (PSt7-10),2018-06-27 09:56:38,default,105.206332684004,μmol/L,34.1651332880333,°C,1001,hPa,Humid,36,0,0,25.801,151734.985869171,377314.040254747,28,24,0
2918020,2018-11-28 13:01:34,0.723162305,OXY6 (PSt7-10),2018-06-27 09:56:38,default,105.180376622564,μmol/L,34.1651332880333,°C,1001,hPa,Humid,36,0,0,25.804,151748.806578401,377316.89286693,28,24,0
2918028,2018-11-28 13:01:35,0.740122951666667,OXY6 (PSt7-10),2018-06-27 09:56:38,default,105.189027835235,μmol/L,34.1651332880333,°C,1001,hPa,Humid,36,0,0,25.803,151743.542916469,377328.206144486,28,24,0
2918042,2018-11-28 13:01:36,0.757041105,OXY6 (PSt7-10),2018-06-27 09:56:38,default,105.148893420061,μmol/L,34.171287324717,°C,1001,hPa,Humid,36,0,0,25.805,151752.243072788,377312.728588524,28,24,0
2918046,2018-11-28 13:01:37,0.773148876666667,OXY6 (PSt7-10),2018-06-27 09:56:38,default,105.194559149335,μmol/L,34.1589792626555,°C,1001,hPa,Humid,36,0,0,25.805,151748.282642289,377300.759305675,28,24,0
2918056,2018-11-28 13:01:38,0.790097646666667,OXY6 (PSt7-10),2018-06-27 09:56:38,default,105.211864488493,μmol/L,34.1589792626555,°C,1001,hPa,Humid,36,0,0,25.803,151743.19666486,377307.281836085,28,24,0
2918064,2018-11-28 13:01:39,0.806913696666667,OXY6 (PSt7-10),2018-06-27 09:56:38,default,105.145779847537,μmol/L,34.1651332880333,°C,1001,hPa,Humid,36,0,0,25.808,151750.000125447,377310.139474966,28,24,0
2918077,2018-11-28 13:01:40,0.823767675,OXY6 (PSt7-10),2018-06-27 09:56:38,default,105.211864488493,μmol/L,34.1589792626555,°C,1001,hPa,Humid,36,0,0,25.803,151748.886356269,377308.180142429,28,24,0
2918082,2018-11-28 13:01:41,0.839800383333333,OXY6 (PSt7-10),2018-06-27 09:56:38,default,105.140245683104,μmol/L,34.171287324717,°C,1001,hPa,Humid,36,0,0,25.806,151743.815512816,377293.690363862,28,24,0
2918091,2018-11-28 13:01:42,0.856659415,OXY6 (PSt7-10),2018-06-27 09:56:38,default,105.154427830154,μmol/L,34.1651332880333,°C,1001,hPa,Humid,36,0,0,25.807,151740.860527351,377284.522386271,28,24,0
2918100,2018-11-28 13:01:43,0.873578105,OXY6 (PSt7-10),2018-06-27 09:56:38,default,105.168607198378,μmol/L,34.1589792626555,°C,1001,hPa,Humid,36,0,0,25.808,151749.343732987,377313.844677413,28,24,0
2918113,2018-11-28 13:01:44,0.890502968333333,OXY6 (PSt7-10),2018-06-27 09:56:38,default,105.131598753435,μmol/L,34.171287324717,°C,1001,hPa,Humid,36,0,0,25.807,151759.463768323,377301.585978457,28,24,0
2918126,2018-11-28 13:01:45,0.906646853333333,OXY6 (PSt7-10),2018-06-27 09:56:38,default,105.145779847537,μmol/L,34.1651332880333,°C,1001,hPa,Humid,36,0,0,25.808,151761.995605025,377320.066986249,28,24,0
2918134,2018-11-28 13:01:46,0.923507308333333,OXY6 (PSt7-10),2018-06-27 09:56:38,default,105.097019105556,μmol/L,34.171287324717,°C,1001,hPa,Humid,36,0,0,25.811,151756.080376854,377302.858651441,28,24,0
2918144,2018-11-28 13:01:47,0.940345836666667,OXY6 (PSt7-10),2018-06-27 09:56:38,default,105.114307315545,μmol/L,34.171287324717,°C,1001,hPa,Humid,36,0,0,25.809,151760.719996479,377317.054072221,28,24,0
2918147,2018-11-28 13:01:48,0.95657741,OXY6 (PSt7-10),2018-06-27 09:56:38,default,105.12295263095,μmol/L,34.171287324717,°C,1001,hPa,Humid,36,0,0,25.808,151747.903303651,377296.997264191,28,24,0
2918159,2018-11-28 13:01:49,0.973452508333333,OXY6 (PSt7-10),2018-06-27 09:56:38,default,105.097019105556,μmol/L,34.171287324717,°C,1001,hPa,Humid,36,0,0,25.811,151753.973506111,377295.242507245,28,24,0
2918166,2018-11-28 13:01:50,0.990277948333333,OXY6 (PSt7-10),2018-06-27 09:56:38,default,105.102552041158,μmol/L,34.1651332880333,°C,1001,hPa,Humid,36,0,0,25.813,151749.275858373,377289.372602937,28,24,0
2918177,2018-11-28 13:01:51,1.00713328666667,OXY6 (PSt7-10),2018-06-27 09:56:38,default,105.114307315545,μmol/L,34.171287324717,°C,1001,hPa,Humid,36,0,0,25.809,151752.846215794,377299.749182114,28,24,0
2918181,2018-11-28 13:01:52,1.02316196666667,OXY6 (PSt7-10),2018-06-27 09:56:38,default,105.097019105556,μmol/L,34.171287324717,°C,1001,hPa,Humid,36,0,0,25.811,151760.299197221,377287.456465886,28,24,0
