Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
2917649,2018-11-28 13:00:52,0,OXY9 (PSt7-10),2018-06-22 13:46:20,default,150.079336979322,μmol/L,34.2787291004051,°C,1000,hPa,Humid,3,0,0,24.262,136564.235275717,256455.74670106,23.1,41.6,0
2917655,2018-11-28 13:00:53,0.0145847266666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,150.054145871574,μmol/L,34.2787291004051,°C,1000,hPa,Humid,3,0,0,24.264,136536.990379073,256409.287645549,23.1,41.6,0
2917659,2018-11-28 13:00:54,0.0309008733333333,OXY9 (PSt7-10),2018-06-22 13:46:20,default,150.016368536582,μmol/L,34.2787291004051,°C,1000,hPa,Humid,3,0,0,24.267,136518.683230075,256374.897197634,23.1,41.6,0
2917669,2018-11-28 13:00:55,0.0481405566666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,149.991738028104,μmol/L,34.2849136789882,°C,1000,hPa,Humid,3,0,0,24.267,136505.200000613,256365.016635081,23.1,41.6,0
2917682,2018-11-28 13:00:56,0.0641764166666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,149.979150113072,μmol/L,34.2849136789882,°C,1000,hPa,Humid,3,0,0,24.268,136502.54372176,256355.691155291,23.1,41.6,0
2917692,2018-11-28 13:00:57,0.0810106666666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,150.003778578011,μmol/L,34.2787291004051,°C,1000,hPa,Humid,3,0,0,24.268,136503.873817029,256344.392706885,23.1,41.6,0
2917699,2018-11-28 13:00:58,0.0978197066666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,150.003778578011,μmol/L,34.2787291004051,°C,1000,hPa,Humid,3,0,0,24.268,136501.90403947,256341.802575332,23.1,41.6,0
2917710,2018-11-28 13:00:59,0.114751813333333,OXY9 (PSt7-10),2018-06-22 13:46:20,default,149.979150113072,μmol/L,34.2849136789882,°C,1000,hPa,Humid,3,0,0,24.268,136518.603765214,256342.648338813,23.1,41.6,0
2917717,2018-11-28 13:01:00,0.131661591666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,149.928810878577,μmol/L,34.2849136789882,°C,1000,hPa,Humid,3,0,0,24.272,136515.348893674,256342.468490793,23.1,41.6,0
2917729,2018-11-28 13:01:01,0.147630055,OXY9 (PSt7-10),2018-06-22 13:46:20,default,149.940847425777,μmol/L,34.2787291004051,°C,1000,hPa,Humid,3,0,0,24.273,136513.0786368,256324.291687542,23.1,41.6,0
2917733,2018-11-28 13:01:02,0.164506851666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,149.979150113072,μmol/L,34.2849136789882,°C,1000,hPa,Humid,3,0,0,24.268,136521.573288989,256338.336908678,23.1,41.6,0
2917743,2018-11-28 13:01:03,0.181371698333333,OXY9 (PSt7-10),2018-06-22 13:46:20,default,149.878491517011,μmol/L,34.2849136789882,°C,1000,hPa,Humid,3,0,0,24.276,136521.886771486,256330.718590268,23.1,41.6,0
2917751,2018-11-28 13:01:04,0.198209616666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,149.891069494905,μmol/L,34.2849136789882,°C,1000,hPa,Humid,3,0,0,24.275,136527.975310794,256327.931681067,23.1,41.6,0
2917763,2018-11-28 13:01:05,0.214235893333333,OXY9 (PSt7-10),2018-06-22 13:46:20,default,149.865914780502,μmol/L,34.2849136789882,°C,1000,hPa,Humid,3,0,0,24.277,136526.689950279,256319.841454361,23.1,41.6,0
2917775,2018-11-28 13:01:06,0.231070551666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,149.829280800515,μmol/L,34.2972828704123,°C,1000,hPa,Humid,3,0,0,24.276,136529.400235762,256325.583152132,23.1,41.6,0
