Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
2908300,2018-11-28 12:41:08,0,OXY9 (PSt7-10),2018-06-22 13:46:20,default,173.963221417231,μmol/L,34.1488555878909,°C,1000,hPa,Humid,3,0,0,22.567,125781.983459635,257401.814138435,23.1,41.6,0
2908315,2018-11-28 12:41:09,0.023646125,OXY9 (PSt7-10),2018-06-22 13:46:20,default,173.648069101825,μmol/L,34.1488555878909,°C,1000,hPa,Humid,3,0,0,22.588,125879.289124804,257356.623501457,23.1,41.6,0
2908319,2018-11-28 12:41:10,0.0396193133333333,OXY9 (PSt7-10),2018-06-22 13:46:20,default,173.424877497715,μmol/L,34.1550399266839,°C,1000,hPa,Humid,3,0,0,22.601,125940.510695965,257317.573568038,23.1,41.6,0
2908327,2018-11-28 12:41:11,0.0568216116666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,173.243894440866,μmol/L,34.1488555878909,°C,1000,hPa,Humid,3,0,0,22.615,126003.147051104,257289.852433502,23.1,41.6,0
2908339,2018-11-28 12:41:12,0.0729051916666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,173.004923979034,μmol/L,34.1488555878909,°C,1000,hPa,Humid,3,0,0,22.631,126081.317803099,257290.463639936,23.1,41.6,0
2908345,2018-11-28 12:41:13,0.089749605,OXY9 (PSt7-10),2018-06-22 13:46:20,default,172.825959379941,μmol/L,34.1488555878909,°C,1000,hPa,Humid,3,0,0,22.643,126141.839624713,257271.862826486,23.1,41.6,0
2908354,2018-11-28 12:41:14,0.106726346666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,172.645767369689,μmol/L,34.1426712605148,°C,1000,hPa,Humid,3,0,0,22.657,126206.674555872,257248.774120748,23.1,41.6,0
2908364,2018-11-28 12:41:15,0.12356144,OXY9 (PSt7-10),2018-06-22 13:46:20,default,172.394390618851,μmol/L,34.1488555878909,°C,1000,hPa,Humid,3,0,0,22.672,126272.667199568,257253.385675004,23.1,41.6,0
2908376,2018-11-28 12:41:16,0.13953125,OXY9 (PSt7-10),2018-06-22 13:46:20,default,172.245877789042,μmol/L,34.1488555878909,°C,1000,hPa,Humid,3,0,0,22.682,126322.174337202,257239.73964537,23.1,41.6,0
2908382,2018-11-28 12:41:17,0.156396543333333,OXY9 (PSt7-10),2018-06-22 13:46:20,default,172.008580662089,μmol/L,34.1488555878909,°C,1000,hPa,Humid,3,0,0,22.698,126405.566293981,257232.932369287,23.1,41.6,0
2908392,2018-11-28 12:41:18,0.173229855,OXY9 (PSt7-10),2018-06-22 13:46:20,default,171.861888941105,μmol/L,34.1550399266839,°C,1000,hPa,Humid,3,0,0,22.706,126425.17185686,257229.633813432,23.1,41.6,0
2908402,2018-11-28 12:41:19,0.190052406666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,171.697730876219,μmol/L,34.1488555878909,°C,1000,hPa,Humid,3,0,0,22.719,126482.422647784,257224.007998609,23.1,41.6,0
2908414,2018-11-28 12:41:20,0.206902866666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,171.507042617521,μmol/L,34.1550399266839,°C,1000,hPa,Humid,3,0,0,22.73,126546.405037468,257226.73629338,23.1,41.6,0
2908418,2018-11-28 12:41:21,0.222957675,OXY9 (PSt7-10),2018-06-22 13:46:20,default,171.431831296703,μmol/L,34.1488555878909,°C,1000,hPa,Humid,3,0,0,22.737,126609.888648187,257221.825027686,23.1,41.6,0
2908429,2018-11-28 12:41:22,0.239778136666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,171.182548351102,μmol/L,34.1550399266839,°C,1000,hPa,Humid,3,0,0,22.752,126669.236269099,257225.391693746,23.1,41.6,0
