Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
2925855,2018-11-28 13:34:15,0,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,145.481458079374,μmol/L,34.1994332332943,°C,1000,hPa,Humid,6,0,0,24.456,120210.154546898,363310.556003321,24.15,57.3,0
2925872,2018-11-28 13:34:16,0.0198416983333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,145.371938486993,μmol/L,34.1932960946733,°C,1000,hPa,Humid,6,0,0,24.467,120239.686168638,363264.653857352,24.15,57.3,0
2925881,2018-11-28 13:34:17,0.03593191,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,145.238282436714,μmol/L,34.1932960946733,°C,1000,hPa,Humid,6,0,0,24.478,120261.573901192,363208.893302271,24.15,57.3,0
2925890,2018-11-28 13:34:18,0.0527756883333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,145.141168445807,μmol/L,34.1932960946733,°C,1000,hPa,Humid,6,0,0,24.486,120281.850960759,363176.398336557,24.15,57.3,0
2925899,2018-11-28 13:34:19,0.0696272433333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,145.092639971209,μmol/L,34.1932960946733,°C,1000,hPa,Humid,6,0,0,24.49,120319.503340055,363150.518775738,24.15,57.3,0
2925908,2018-11-28 13:34:20,0.0865044883333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,144.971443587715,μmol/L,34.1994332332943,°C,1000,hPa,Humid,6,0,0,24.498,120347.92357262,363151.999980881,24.15,57.3,0
2925917,2018-11-28 13:34:21,0.102488613333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,144.898715973241,μmol/L,34.1932960946733,°C,1000,hPa,Humid,6,0,0,24.506,120368.808127726,363128.496044886,24.15,57.3,0
2925924,2018-11-28 13:34:22,0.119406333333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,144.789840078922,μmol/L,34.2055703831611,°C,1000,hPa,Humid,6,0,0,24.511,120395.853954867,363113.383095588,24.15,57.3,0
2925933,2018-11-28 13:34:23,0.136317705,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,144.741410769301,μmol/L,34.1994332332943,°C,1000,hPa,Humid,6,0,0,24.517,120428.977209508,363124.459586079,24.15,57.3,0
2925944,2018-11-28 13:34:24,0.153268073333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,144.644682674684,μmol/L,34.1994332332943,°C,1000,hPa,Humid,6,0,0,24.525,120455.432525253,363112.775589255,24.15,57.3,0
2925953,2018-11-28 13:34:25,0.169301643333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,144.584266027456,μmol/L,34.1994332332943,°C,1000,hPa,Humid,6,0,0,24.53,120473.034192688,363113.092112534,24.15,57.3,0
2925962,2018-11-28 13:34:26,0.186165363333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,144.499732316884,μmol/L,34.1994332332943,°C,1000,hPa,Humid,6,0,0,24.537,120513.128855334,363121.341523593,24.15,57.3,0
2925971,2018-11-28 13:34:27,0.202983376666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,144.475590449104,μmol/L,34.1994332332943,°C,1000,hPa,Humid,6,0,0,24.539,120527.568189184,363111.521929467,24.15,57.3,0
2925980,2018-11-28 13:34:28,0.219815663333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,144.39113105859,μmol/L,34.1994332332943,°C,1000,hPa,Humid,6,0,0,24.546,120554.777390043,363118.048412701,24.15,57.3,0
2925989,2018-11-28 13:34:29,0.236646678333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,144.330861160128,μmol/L,34.2055703831611,°C,1000,hPa,Humid,6,0,0,24.549,120586.889315096,363123.954101661,24.15,57.3,0
2925998,2018-11-28 13:34:30,0.252652855,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,144.258525801548,μmol/L,34.1994332332943,°C,1000,hPa,Humid,6,0,0,24.557,120591.867085262,363108.080136039,24.15,57.3,0
2926007,2018-11-28 13:34:31,0.269531376666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,144.258505850233,μmol/L,34.1932960946733,°C,1000,hPa,Humid,6,0,0,24.559,120613.276549649,363105.130689278,24.15,57.3,0
2926008,2018-11-28 13:34:32,0.286360075,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,144.210322527054,μmol/L,34.1932960946733,°C,1000,hPa,Humid,6,0,0,24.563,120622.379854379,363082.648477188,24.15,57.3,0
2926019,2018-11-28 13:34:33,0.303170028333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,144.138099124493,μmol/L,34.1994332332943,°C,1000,hPa,Humid,6,0,0,24.567,120659.999730439,363101.062850556,24.15,57.3,0
2926034,2018-11-28 13:34:34,0.319268541666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,144.089976953801,μmol/L,34.2055703831611,°C,1000,hPa,Humid,6,0,0,24.569,120678.86381496,363089.704919133,24.15,57.3,0
2926043,2018-11-28 13:34:35,0.336204053333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,144.065899533076,μmol/L,34.1994332332943,°C,1000,hPa,Humid,6,0,0,24.573,120687.769969778,363081.699652619,24.15,57.3,0
2926052,2018-11-28 13:34:36,0.353054048333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,144.005765497532,μmol/L,34.1994332332943,°C,1000,hPa,Humid,6,0,0,24.578,120706.094788092,363083.458432696,24.15,57.3,0
2926061,2018-11-28 13:34:37,0.369942656666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,143.957679390608,μmol/L,34.1994332332943,°C,1000,hPa,Humid,6,0,0,24.582,120728.718766533,363069.533282477,24.15,57.3,0
2926070,2018-11-28 13:34:38,0.385993343333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,143.885594836735,μmol/L,34.2055703831611,°C,1000,hPa,Humid,6,0,0,24.586,120734.312782839,363064.128521319,24.15,57.3,0
2926079,2018-11-28 13:34:39,0.402889466666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,143.909602628975,μmol/L,34.1932960946733,°C,1000,hPa,Humid,6,0,0,24.588,120738.82381014,363053.192777776,24.15,57.3,0
2926088,2018-11-28 13:34:40,0.41979416,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,143.837546192753,μmol/L,34.1994332332943,°C,1000,hPa,Humid,6,0,0,24.592,120749.93855785,363075.64117805,24.15,57.3,0
2926097,2018-11-28 13:34:41,0.435858748333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,143.801535979211,μmol/L,34.2055703831611,°C,1000,hPa,Humid,6,0,0,24.593,120765.99942832,363055.455555089,24.15,57.3,0
2926100,2018-11-28 13:34:42,0.45303756,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,143.77752352227,μmol/L,34.1994332332943,°C,1000,hPa,Humid,6,0,0,24.597,120777.275139743,363035.524940651,24.15,57.3,0
2926109,2018-11-28 13:34:43,0.469919215,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,143.729531193687,μmol/L,34.2055703831611,°C,1000,hPa,Humid,6,0,0,24.599,120803.40953146,363066.763025718,24.15,57.3,0
2926124,2018-11-28 13:34:44,0.485976673333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,143.681551402873,μmol/L,34.2055703831611,°C,1000,hPa,Humid,6,0,0,24.603,120803.06279847,363055.645036591,24.15,57.3,0
2926127,2018-11-28 13:34:45,0.50278699,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,143.669559378673,μmol/L,34.2055703831611,°C,1000,hPa,Humid,6,0,0,24.604,120807.431564315,363046.913718885,24.15,57.3,0
2926136,2018-11-28 13:34:46,0.519636331666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,143.657565940064,μmol/L,34.1994332332943,°C,1000,hPa,Humid,6,0,0,24.607,120831.228254027,363043.518271855,24.15,57.3,0
2926145,2018-11-28 13:34:47,0.536476836666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,143.609616790864,μmol/L,34.2055703831611,°C,1000,hPa,Humid,6,0,0,24.609,120836.16893199,363039.982533228,24.15,57.3,0
2926155,2018-11-28 13:34:48,0.55330826,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,143.585647503659,μmol/L,34.1994332332943,°C,1000,hPa,Humid,6,0,0,24.613,120845.912628893,363044.756291589,24.15,57.3,0
2926163,2018-11-28 13:34:49,0.569333856666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,143.585647503659,μmol/L,34.1994332332943,°C,1000,hPa,Humid,6,0,0,24.613,120854.268440792,363048.101609602,24.15,57.3,0
2926173,2018-11-28 13:34:50,0.586170491666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,143.561683751043,μmol/L,34.2055703831611,°C,1000,hPa,Humid,6,0,0,24.613,120857.779568599,363033.843668843,24.15,57.3,0
2926183,2018-11-28 13:34:51,0.602984226666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,143.51376939408,μmol/L,34.2055703831611,°C,1000,hPa,Humid,6,0,0,24.617,120868.5404234,363009.966671288,24.15,57.3,0
2926194,2018-11-28 13:34:52,0.619817991666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,143.513771110595,μmol/L,34.1994332332943,°C,1000,hPa,Humid,6,0,0,24.619,120893.560518561,363028.209350893,24.15,57.3,0
2926204,2018-11-28 13:34:53,0.636611205,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,143.429960702045,μmol/L,34.2117075442711,°C,1000,hPa,Humid,6,0,0,24.622,120898.051047304,363016.957912721,24.15,57.3,0
2926212,2018-11-28 13:34:54,0.652609451666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,143.417992838935,μmol/L,34.2117075442711,°C,1000,hPa,Humid,6,0,0,24.623,120901.666850012,363006.771633231,24.15,57.3,0
2926222,2018-11-28 13:34:55,0.669584533333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,143.477848669753,μmol/L,34.1994332332943,°C,1000,hPa,Humid,6,0,0,24.622,120913.007066682,363003.85208762,24.15,57.3,0
2926231,2018-11-28 13:34:56,0.686401671666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,143.40603034826,μmol/L,34.2055703831611,°C,1000,hPa,Humid,6,0,0,24.626,120939.449698867,363011.248752594,24.15,57.3,0
2926241,2018-11-28 13:34:57,0.703282546666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,143.40603034826,μmol/L,34.2055703831611,°C,1000,hPa,Humid,6,0,0,24.626,120998.31304572,363008.892699297,24.15,57.3,0
2926248,2018-11-28 13:34:58,0.719258761666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,143.346216127715,μmol/L,34.2055703831611,°C,1000,hPa,Humid,6,0,0,24.631,121017.928451651,362986.342402441,24.15,57.3,0
