Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
2934082,2018-11-28 13:51:22,0,OXY5 (PSt7-10),2018-06-27 09:56:23,default,105.274827372274,μmol/L,34.0185159781531,°C,1000,hPa,Humid,37,0,0,25.69,139146.879624575,416734.99030881,28.35,51.6,0
2934092,2018-11-28 13:51:23,0.02065855,OXY5 (PSt7-10),2018-06-27 09:56:23,default,105.25441079997,μmol/L,34.0123587037756,°C,1000,hPa,Humid,37,0,0,25.695,139120.066717837,416649.042697144,28.35,51.6,0
2934097,2018-11-28 13:51:24,0.0375691983333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,105.205470450914,μmol/L,34.0185159781531,°C,1000,hPa,Humid,37,0,0,25.698,139093.194939229,416599.481364903,28.35,51.6,0
2934108,2018-11-28 13:51:25,0.0542451283333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,105.228402433515,μmol/L,34.0123587037756,°C,1000,hPa,Humid,37,0,0,25.698,139094.414476199,416579.384088442,28.35,51.6,0
2934118,2018-11-28 13:51:26,0.07025917,OXY5 (PSt7-10),2018-06-27 09:56:23,default,105.196804492165,μmol/L,34.0185159781531,°C,1000,hPa,Humid,37,0,0,25.699,139082.126391282,416553.339971538,28.35,51.6,0
2934126,2018-11-28 13:51:27,0.0871112866666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,105.237071076393,μmol/L,34.0123587037756,°C,1000,hPa,Humid,37,0,0,25.697,139076.137936683,416540.719464992,28.35,51.6,0
2934132,2018-11-28 13:51:28,0.104226633333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,105.191203411801,μmol/L,34.0246732638484,°C,1000,hPa,Humid,37,0,0,25.697,139071.682860523,416541.556889955,28.35,51.6,0
2934143,2018-11-28 13:51:29,0.121055068333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,105.219734603105,μmol/L,34.0123587037756,°C,1000,hPa,Humid,37,0,0,25.699,139075.300268532,416512.353980242,28.35,51.6,0
2934152,2018-11-28 13:51:30,0.137063818333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,105.219734603105,μmol/L,34.0123587037756,°C,1000,hPa,Humid,37,0,0,25.699,139079.601229204,416519.728799301,28.35,51.6,0
2934167,2018-11-28 13:51:31,0.154086393333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,105.165211150439,μmol/L,34.0246732638484,°C,1000,hPa,Humid,37,0,0,25.7,139079.214236265,416521.497023617,28.35,51.6,0
