Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
2942293,2018-11-28 14:27:06,0,OXY5 (PSt7-10),2018-06-27 09:56:23,default,108.473632246569,μmol/L,33.8030181085455,°C,1001,hPa,Humid,37,0,0,25.42,136245.223153435,417142.935384567,28.35,51.6,0
2942303,2018-11-28 14:27:07,0.0211600233333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,108.497093073885,μmol/L,33.7968612302493,°C,1001,hPa,Humid,37,0,0,25.42,136214.518507454,417063.538327684,28.35,51.6,0
2942312,2018-11-28 14:27:08,0.0379205,OXY5 (PSt7-10),2018-06-27 09:56:23,default,108.446743901791,μmol/L,33.8030181085455,°C,1001,hPa,Humid,37,0,0,25.423,136190.731776357,417004.666804567,28.35,51.6,0
2942315,2018-11-28 14:27:09,0.0552549133333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,108.51502672272,μmol/L,33.7968612302493,°C,1001,hPa,Humid,37,0,0,25.418,136167.821127324,416992.835747861,28.35,51.6,0
2942329,2018-11-28 14:27:10,0.0712873116666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,108.441209810148,μmol/L,33.8091749981572,°C,1001,hPa,Humid,37,0,0,25.421,136167.38465289,416979.89355661,28.35,51.6,0
2942336,2018-11-28 14:27:11,0.0881920883333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,108.482596725257,μmol/L,33.8030181085455,°C,1001,hPa,Humid,37,0,0,25.419,136149.795150169,416944.76983365,28.35,51.6,0
2942347,2018-11-28 14:27:12,0.105143331666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,108.4322489495,μmol/L,33.8091749981572,°C,1001,hPa,Humid,37,0,0,25.422,136152.198762106,416947.088703148,28.35,51.6,0
2942353,2018-11-28 14:27:13,0.121104833333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,108.455705834947,μmol/L,33.8030181085455,°C,1001,hPa,Humid,37,0,0,25.422,136137.196251306,416931.965147001,28.35,51.6,0
2942365,2018-11-28 14:27:14,0.137859986666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,108.488127522727,μmol/L,33.7968612302493,°C,1001,hPa,Humid,37,0,0,25.421,136147.532587615,416921.874369457,28.35,51.6,0
2942376,2018-11-28 14:27:15,0.154683311666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,108.441209810148,μmol/L,33.8091749981572,°C,1001,hPa,Humid,37,0,0,25.421,136133.542155717,416930.475066561,28.35,51.6,0
2942382,2018-11-28 14:27:16,0.171545281666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,108.410904650946,μmol/L,33.8030181085455,°C,1001,hPa,Humid,37,0,0,25.427,136135.65106833,416917.098795472,28.35,51.6,0
2942391,2018-11-28 14:27:17,0.188396793333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,108.446743901791,μmol/L,33.8030181085455,°C,1001,hPa,Humid,37,0,0,25.423,136133.621786883,416906.7571715,28.35,51.6,0
2942399,2018-11-28 14:27:18,0.204395141666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,108.414329772749,μmol/L,33.8091749981572,°C,1001,hPa,Humid,37,0,0,25.424,136127.299493425,416897.146823899,28.35,51.6,0
2942410,2018-11-28 14:27:19,0.221270573333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,108.4322489495,μmol/L,33.8091749981572,°C,1001,hPa,Humid,37,0,0,25.422,136132.1748239,416907.773407437,28.35,51.6,0
2942416,2018-11-28 14:27:20,0.238147236666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,108.414329772749,μmol/L,33.8091749981572,°C,1001,hPa,Humid,37,0,0,25.424,136125.347272389,416891.528345658,28.35,51.6,0
2942425,2018-11-28 14:27:21,0.254995855,OXY5 (PSt7-10),2018-06-27 09:56:23,default,108.437782816924,μmol/L,33.8030181085455,°C,1001,hPa,Humid,37,0,0,25.424,136128.081420347,416897.708101544,28.35,51.6,0
