Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
2951311,2018-11-28 14:45:40,0,OXY1 (PSt7-10),2018-06-27 09:55:33,default,122.360321593195,μmol/L,33.9436975398148,°C,1001,hPa,Humid,36,0,0,24.08,113746.019193735,250035.267836514,26.6,20.1,0
2951313,2018-11-28 14:45:41,0.0117917833333333,OXY1 (PSt7-10),2018-06-27 09:55:33,default,122.365927635819,μmol/L,33.9375748255993,°C,1001,hPa,Humid,36,0,0,24.082,113718.872862307,249990.585770658,26.6,20.1,0
2951318,2018-11-28 14:45:42,0.028794365,OXY1 (PSt7-10),2018-06-27 09:55:33,default,122.33973946474,μmol/L,33.9436975398148,°C,1001,hPa,Humid,36,0,0,24.082,113701.03575238,249983.675856867,26.6,20.1,0
2951324,2018-11-28 14:45:43,0.0457278366666667,OXY1 (PSt7-10),2018-06-27 09:55:33,default,122.38182211276,μmol/L,33.9314521225756,°C,1001,hPa,Humid,36,0,0,24.083,113693.845967811,249960.68614805,26.6,20.1,0
2951329,2018-11-28 14:45:44,0.06172151,OXY1 (PSt7-10),2018-06-27 09:55:33,default,122.423003842721,μmol/L,33.9314521225756,°C,1001,hPa,Humid,36,0,0,24.079,113680.076597729,249967.469242376,26.6,20.1,0
2951334,2018-11-28 14:45:45,0.078423505,OXY1 (PSt7-10),2018-06-27 09:55:33,default,122.365927635819,μmol/L,33.9375748255993,°C,1001,hPa,Humid,36,0,0,24.082,113660.365847233,249958.319019176,26.6,20.1,0
2951344,2018-11-28 14:45:46,0.0966692483333333,OXY1 (PSt7-10),2018-06-27 09:55:33,default,122.371529238029,μmol/L,33.9314521225756,°C,1001,hPa,Humid,36,0,0,24.084,113655.927200002,249959.469105628,26.6,20.1,0
2951351,2018-11-28 14:45:47,0.11177123,OXY1 (PSt7-10),2018-06-27 09:55:33,default,122.355635921901,μmol/L,33.9375748255993,°C,1001,hPa,Humid,36,0,0,24.083,113646.697786886,249955.298796899,26.6,20.1,0
2951357,2018-11-28 14:45:48,0.128663998333333,OXY1 (PSt7-10),2018-06-27 09:55:33,default,122.33973946474,μmol/L,33.9436975398148,°C,1001,hPa,Humid,36,0,0,24.082,113651.167117987,249938.873844125,26.6,20.1,0
2951372,2018-11-28 14:45:49,0.145634323333333,OXY1 (PSt7-10),2018-06-27 09:55:33,default,122.31916142697,μmol/L,33.9436975398148,°C,1001,hPa,Humid,36,0,0,24.084,113664.83875845,249939.538745253,26.6,20.1,0
2951378,2018-11-28 14:45:50,0.161874631666667,OXY1 (PSt7-10),2018-06-27 09:55:33,default,122.361237386122,μmol/L,33.9314521225756,°C,1001,hPa,Humid,36,0,0,24.085,113668.613826178,249942.6967255,26.6,20.1,0
2951389,2018-11-28 14:45:51,0.178711115,OXY1 (PSt7-10),2018-06-27 09:55:33,default,122.365927635819,μmol/L,33.9375748255993,°C,1001,hPa,Humid,36,0,0,24.082,113678.68140058,249944.851284974,26.6,20.1,0
2951399,2018-11-28 14:45:52,0.195596483333333,OXY1 (PSt7-10),2018-06-27 09:55:33,default,122.3509465569,μmol/L,33.9314521225756,°C,1001,hPa,Humid,36,0,0,24.086,113680.54781722,249944.61260485,26.6,20.1,0
2951408,2018-11-28 14:45:53,0.21215491,OXY1 (PSt7-10),2018-06-27 09:55:33,default,122.298587478768,μmol/L,33.9436975398148,°C,1001,hPa,Humid,36,0,0,24.086,113680.424487961,249933.875039154,26.6,20.1,0
2951409,2018-11-28 14:45:54,0.228348385,OXY1 (PSt7-10),2018-06-27 09:55:33,default,122.345345230731,μmol/L,33.9375748255993,°C,1001,hPa,Humid,36,0,0,24.084,113668.624870351,249942.466707067,26.6,20.1,0
2951426,2018-11-28 14:45:55,0.245253796666667,OXY1 (PSt7-10),2018-06-27 09:55:33,default,122.288302037907,μmol/L,33.9436975398148,°C,1001,hPa,Humid,36,0,0,24.087,113716.43017492,249945.882797025,26.6,20.1,0
2951435,2018-11-28 14:45:56,0.262113941666667,OXY1 (PSt7-10),2018-06-27 09:55:33,default,122.304192690741,μmol/L,33.9375748255993,°C,1001,hPa,Humid,36,0,0,24.088,113728.162419054,249939.586890678,26.6,20.1,0
2951442,2018-11-28 14:45:57,0.278929263333333,OXY1 (PSt7-10),2018-06-27 09:55:33,default,122.308873941743,μmol/L,33.9436975398148,°C,1001,hPa,Humid,36,0,0,24.085,113687.882235297,249928.965010639,26.6,20.1,0
2951452,2018-11-28 14:45:58,0.29496888,OXY1 (PSt7-10),2018-06-27 09:55:33,default,122.308873941743,μmol/L,33.9436975398148,°C,1001,hPa,Humid,36,0,0,24.085,113677.676158083,249940.127447006,26.6,20.1,0
2951462,2018-11-28 14:45:59,0.311855323333333,OXY1 (PSt7-10),2018-06-27 09:55:33,default,122.267734221968,μmol/L,33.9436975398148,°C,1001,hPa,Humid,36,0,0,24.089,113717.706339029,249943.564961278,26.6,20.1,0
2951469,2018-11-28 14:46:00,0.328696666666667,OXY1 (PSt7-10),2018-06-27 09:55:33,default,122.278939375828,μmol/L,33.9314521225756,°C,1001,hPa,Humid,36,0,0,24.093,113716.405214245,249937.142303046,26.6,20.1,0
2951480,2018-11-28 14:46:01,0.345707875,OXY1 (PSt7-10),2018-06-27 09:55:33,default,122.263056503565,μmol/L,33.9375748255993,°C,1001,hPa,Humid,36,0,0,24.092,113729.984189085,249928.812044645,26.6,20.1,0
2951489,2018-11-28 14:46:02,0.361720533333333,OXY1 (PSt7-10),2018-06-27 09:55:33,default,122.221936660292,μmol/L,33.9375748255993,°C,1001,hPa,Humid,36,0,0,24.096,113728.474885536,249930.213951356,26.6,20.1,0
2951496,2018-11-28 14:46:03,0.378550115,OXY1 (PSt7-10),2018-06-27 09:55:33,default,122.232215089357,μmol/L,33.9375748255993,°C,1001,hPa,Humid,36,0,0,24.095,113728.070562427,249920.805541224,26.6,20.1,0
2951504,2018-11-28 14:46:04,0.395409743333333,OXY1 (PSt7-10),2018-06-27 09:55:33,default,122.252775010854,μmol/L,33.9375748255993,°C,1001,hPa,Humid,36,0,0,24.093,113724.71810326,249920.425345671,26.6,20.1,0
