Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
2942286,2018-11-28 14:27:04,0,OXY2 (PSt7-10),2018-06-27 09:55:47,default,146.533094786374,μmol/L,33.7712674684299,°C,1001,hPa,Humid,36,0,0,21.94,103839.518927562,192306.712600465,26.25,55.3,0
2942290,2018-11-28 14:27:05,0.01525749,OXY2 (PSt7-10),2018-06-27 09:55:47,default,146.507464852101,μmol/L,33.7712674684299,°C,1001,hPa,Humid,36,0,0,21.942,103817.235746463,192268.577601002,26.25,55.3,0
2942296,2018-11-28 14:27:06,0.032442965,OXY2 (PSt7-10),2018-06-27 09:55:47,default,146.443414193141,μmol/L,33.7712674684299,°C,1001,hPa,Humid,36,0,0,21.947,103814.978343137,192254.105182008,26.25,55.3,0
2942304,2018-11-28 14:27:07,0.0486449933333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,146.412384537008,μmol/L,33.7773775753831,°C,1001,hPa,Humid,36,0,0,21.947,103801.971143096,192237.029600526,26.25,55.3,0
2942308,2018-11-28 14:27:08,0.06540547,OXY2 (PSt7-10),2018-06-27 09:55:47,default,146.47444411701,μmol/L,33.7651573726198,°C,1001,hPa,Humid,36,0,0,21.947,103803.899222803,192218.085513642,26.25,55.3,0
2942323,2018-11-28 14:27:09,0.08272381,OXY2 (PSt7-10),2018-06-27 09:55:47,default,146.425189214437,μmol/L,33.7773775753831,°C,1001,hPa,Humid,36,0,0,21.946,103825.432797107,192223.800545482,26.25,55.3,0
2942327,2018-11-28 14:27:10,0.0987556566666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,146.430608204307,μmol/L,33.7712674684299,°C,1001,hPa,Humid,36,0,0,21.948,103821.847068635,192207.160084221,26.25,55.3,0
2942340,2018-11-28 14:27:11,0.115677058333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,146.361179629535,μmol/L,33.7773775753831,°C,1001,hPa,Humid,36,0,0,21.951,103824.420969394,192202.228038795,26.25,55.3,0
2942345,2018-11-28 14:27:12,0.132628301666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,146.423217678292,μmol/L,33.7651573726198,°C,1001,hPa,Humid,36,0,0,21.951,103835.149172326,192214.409073437,26.25,55.3,0
2942357,2018-11-28 14:27:13,0.148589803333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,146.379398052081,μmol/L,33.7712674684299,°C,1001,hPa,Humid,36,0,0,21.952,103820.657494375,192197.042270258,26.25,55.3,0
2942361,2018-11-28 14:27:14,0.165344956666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,146.423217678292,μmol/L,33.7651573726198,°C,1001,hPa,Humid,36,0,0,21.951,103838.709172592,192203.35426306,26.25,55.3,0
2942374,2018-11-28 14:27:15,0.182168281666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,146.359215682748,μmol/L,33.7651573726198,°C,1001,hPa,Humid,36,0,0,21.956,103837.266923339,192191.005793778,26.25,55.3,0
2942383,2018-11-28 14:27:16,0.199030251666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,146.346419421994,μmol/L,33.7651573726198,°C,1001,hPa,Humid,36,0,0,21.957,103848.526318512,192199.823584979,26.25,55.3,0
2942392,2018-11-28 14:27:17,0.215881763333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,146.315416403595,μmol/L,33.7712674684299,°C,1001,hPa,Humid,36,0,0,21.957,103847.062711577,192203.600664713,26.25,55.3,0
2942396,2018-11-28 14:27:18,0.231880111666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,146.333624540219,μmol/L,33.7651573726198,°C,1001,hPa,Humid,36,0,0,21.958,103858.360420709,192193.271967653,26.25,55.3,0
2942405,2018-11-28 14:27:19,0.248755543333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,146.277043960413,μmol/L,33.7712674684299,°C,1001,hPa,Humid,36,0,0,21.96,103862.390817802,192191.165338164,26.25,55.3,0
2942420,2018-11-28 14:27:20,0.265632206666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,146.251469222382,μmol/L,33.7712674684299,°C,1001,hPa,Humid,36,0,0,21.962,103873.849571774,192196.918021194,26.25,55.3,0
2942424,2018-11-28 14:27:21,0.282480825,OXY2 (PSt7-10),2018-06-27 09:55:47,default,146.238683919987,μmol/L,33.7712674684299,°C,1001,hPa,Humid,36,0,0,21.963,103881.688766462,192186.153462136,26.25,55.3,0
