Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
2942289,2018-11-28 14:27:05,0,OXY3 (PSt7-10),2018-06-27 09:55:59,default,126.575543573817,μmol/L,34.1028621806408,°C,1001,hPa,Humid,36,0,0,23.525,120103.714946595,276914.555431427,31.5,36,0
2942295,2018-11-28 14:27:06,0.0232009183333333,OXY3 (PSt7-10),2018-06-27 09:55:59,default,126.505108331254,μmol/L,34.1090403738385,°C,1001,hPa,Humid,36,0,0,23.529,120103.383709329,276872.63472849,31.5,36,0
2942301,2018-11-28 14:27:07,0.0394029466666667,OXY3 (PSt7-10),2018-06-27 09:55:59,default,126.472883920911,μmol/L,34.1090403738385,°C,1001,hPa,Humid,36,0,0,23.532,120092.396264965,276828.053634717,31.5,36,0
2942313,2018-11-28 14:27:08,0.0563296216666667,OXY3 (PSt7-10),2018-06-27 09:55:59,default,126.489580238348,μmol/L,34.1028621806408,°C,1001,hPa,Humid,36,0,0,23.533,120085.346076012,276811.882857929,31.5,36,0
2942321,2018-11-28 14:27:09,0.0734817633333333,OXY3 (PSt7-10),2018-06-27 09:55:59,default,126.429933297089,μmol/L,34.1090403738385,°C,1001,hPa,Humid,36,0,0,23.536,120078.442386991,276782.665870392,31.5,36,0
2942325,2018-11-28 14:27:10,0.08951361,OXY3 (PSt7-10),2018-06-27 09:55:59,default,126.402504766471,μmol/L,34.1152185784317,°C,1001,hPa,Humid,36,0,0,23.536,120081.336768273,276760.007048408,31.5,36,0
2942334,2018-11-28 14:27:11,0.106435011666667,OXY3 (PSt7-10),2018-06-27 09:55:59,default,126.381040609138,μmol/L,34.1152185784317,°C,1001,hPa,Humid,36,0,0,23.538,120077.540007743,276738.471961012,31.5,36,0
2942349,2018-11-28 14:27:12,0.123386255,OXY3 (PSt7-10),2018-06-27 09:55:59,default,126.365540034472,μmol/L,34.1090403738385,°C,1001,hPa,Humid,36,0,0,23.542,120081.800321878,276746.561515626,31.5,36,0
2942356,2018-11-28 14:27:13,0.139347756666667,OXY3 (PSt7-10),2018-06-27 09:55:59,default,126.376269523283,μmol/L,34.1090403738385,°C,1001,hPa,Humid,36,0,0,23.541,120078.496355444,276721.415194865,31.5,36,0
2942360,2018-11-28 14:27:14,0.15610291,OXY3 (PSt7-10),2018-06-27 09:55:59,default,126.316674260351,μmol/L,34.1152185784317,°C,1001,hPa,Humid,36,0,0,23.544,120079.712352233,276717.063698243,31.5,36,0
