Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
2942292,2018-11-28 14:27:05,0,OXY4 (PSt7-10),2018-06-27 09:56:10,default,129.24403053999,μmol/L,33.8623561374311,°C,1001,hPa,Humid,36,0,0,23.464,123468.256627648,266636.555182223,25.2,46,0
2942297,2018-11-28 14:27:06,0.0141775433333333,OXY4 (PSt7-10),2018-06-27 09:56:10,default,129.227230951529,μmol/L,33.8685216550593,°C,1001,hPa,Humid,36,0,0,23.463,123434.500799096,266601.00869374,25.2,46,0
2942300,2018-11-28 14:27:07,0.0303795716666667,OXY4 (PSt7-10),2018-06-27 09:56:10,default,129.227230951529,μmol/L,33.8685216550593,°C,1001,hPa,Humid,36,0,0,23.463,123421.584590276,266563.678544489,25.2,46,0
2942307,2018-11-28 14:27:08,0.0473062466666667,OXY4 (PSt7-10),2018-06-27 09:56:10,default,129.183319445826,μmol/L,33.8685216550593,°C,1001,hPa,Humid,36,0,0,23.467,123416.612102927,266551.703722287,25.2,46,0
2942319,2018-11-28 14:27:09,0.0637596683333333,OXY4 (PSt7-10),2018-06-27 09:56:10,default,129.155547565342,μmol/L,33.8746871840358,°C,1001,hPa,Humid,36,0,0,23.467,123410.312371543,266546.117180413,25.2,46,0
2942324,2018-11-28 14:27:10,0.08050686,OXY4 (PSt7-10),2018-06-27 09:56:10,default,129.211091564843,μmol/L,33.8623561374311,°C,1001,hPa,Humid,36,0,0,23.467,123401.091917176,266531.572659456,25.2,46,0
2942335,2018-11-28 14:27:11,0.0974116366666667,OXY4 (PSt7-10),2018-06-27 09:56:10,default,129.172344360217,μmol/L,33.8685216550593,°C,1001,hPa,Humid,36,0,0,23.468,123403.32879405,266515.348260028,25.2,46,0
2942344,2018-11-28 14:27:12,0.114346146666667,OXY4 (PSt7-10),2018-06-27 09:56:10,default,129.172344360217,μmol/L,33.8685216550593,°C,1001,hPa,Humid,36,0,0,23.468,123401.498513487,266530.433911182,25.2,46,0
2942351,2018-11-28 14:27:13,0.130324381666667,OXY4 (PSt7-10),2018-06-27 09:56:10,default,129.172344360217,μmol/L,33.8685216550593,°C,1001,hPa,Humid,36,0,0,23.468,123394.69797788,266529.365240485,25.2,46,0
2942366,2018-11-28 14:27:14,0.147079535,OXY4 (PSt7-10),2018-06-27 09:56:10,default,129.178162637369,μmol/L,33.8623561374311,°C,1001,hPa,Humid,36,0,0,23.47,123398.105319693,266519.090887353,25.2,46,0
2942370,2018-11-28 14:27:15,0.16390286,OXY4 (PSt7-10),2018-06-27 09:56:10,default,129.139425798861,μmol/L,33.8685216550593,°C,1001,hPa,Humid,36,0,0,23.471,123384.679105369,266526.818479927,25.2,46,0
2942378,2018-11-28 14:27:16,0.18076483,OXY4 (PSt7-10),2018-06-27 09:56:10,default,129.128455176383,μmol/L,33.8685216550593,°C,1001,hPa,Humid,36,0,0,23.472,123397.813060151,266523.400519427,25.2,46,0
2942393,2018-11-28 14:27:17,0.197616341666667,OXY4 (PSt7-10),2018-06-27 09:56:10,default,129.1174856693,μmol/L,33.8685216550593,°C,1001,hPa,Humid,36,0,0,23.473,123397.130953807,266530.042208472,25.2,46,0
2942401,2018-11-28 14:27:18,0.21361469,OXY4 (PSt7-10),2018-06-27 09:56:10,default,129.078761770149,μmol/L,33.8746871840358,°C,1001,hPa,Humid,36,0,0,23.474,123398.816166846,266515.060049416,25.2,46,0
2942406,2018-11-28 14:27:19,0.230490121666667,OXY4 (PSt7-10),2018-06-27 09:56:10,default,129.095550000696,μmol/L,33.8685216550593,°C,1001,hPa,Humid,36,0,0,23.475,123393.851131234,266520.472554728,25.2,46,0
2942417,2018-11-28 14:27:20,0.247366785,OXY4 (PSt7-10),2018-06-27 09:56:10,default,129.162029009324,μmol/L,33.8561906311502,°C,1001,hPa,Humid,36,0,0,23.474,123392.608312683,266519.386432336,25.2,46,0
2942428,2018-11-28 14:27:21,0.264215403333333,OXY4 (PSt7-10),2018-06-27 09:56:10,default,129.095550000696,μmol/L,33.8685216550593,°C,1001,hPa,Humid,36,0,0,23.475,123391.256455793,266523.508884225,25.2,46,0
2942433,2018-11-28 14:27:22,0.281033856666667,OXY4 (PSt7-10),2018-06-27 09:56:10,default,129.101367523994,μmol/L,33.8623561374311,°C,1001,hPa,Humid,36,0,0,23.477,123391.210842323,266518.033702342,25.2,46,0
2942442,2018-11-28 14:27:23,0.297105203333333,OXY4 (PSt7-10),2018-06-27 09:56:10,default,129.079436099059,μmol/L,33.8623561374311,°C,1001,hPa,Humid,36,0,0,23.479,123389.38562505,266511.513082638,25.2,46,0
2942451,2018-11-28 14:27:24,0.3140021,OXY4 (PSt7-10),2018-06-27 09:56:10,default,129.112334908668,μmol/L,33.8623561374311,°C,1001,hPa,Humid,36,0,0,23.476,123391.925836429,266513.137887596,25.2,46,0
2942467,2018-11-28 14:27:25,0.330927863333333,OXY4 (PSt7-10),2018-06-27 09:56:10,default,129.079436099059,μmol/L,33.8623561374311,°C,1001,hPa,Humid,36,0,0,23.479,123396.805021484,266503.533060284,25.2,46,0
2942473,2018-11-28 14:27:26,0.347004238333333,OXY4 (PSt7-10),2018-06-27 09:56:10,default,129.023948222114,μmol/L,33.8746871840358,°C,1001,hPa,Humid,36,0,0,23.479,123404.318517065,266490.786518953,25.2,46,0
2942481,2018-11-28 14:27:27,0.363898491666667,OXY4 (PSt7-10),2018-06-27 09:56:10,default,129.046547320362,μmol/L,33.8623561374311,°C,1001,hPa,Humid,36,0,0,23.482,123411.20801192,266498.107272649,25.2,46,0
