Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
2866163,2018-11-28 09:22:14,0,OXY9 (PSt7-10),2018-06-22 13:46:20,default,160.067634773567,μmol/L,35.9489802135654,°C,1000,hPa,Humid,3,0,0,22.981,128631.608161697,256603.405307831,23.1,41.6,0
2866172,2018-11-28 09:22:15,0.0218965016666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,160.095089908454,μmol/L,35.9489802135654,°C,1000,hPa,Humid,3,0,0,22.979,128622.884841961,256579.592465399,23.1,41.6,0
2866184,2018-11-28 09:22:16,0.038728385,OXY9 (PSt7-10),2018-06-22 13:46:20,default,160.067634773567,μmol/L,35.9489802135654,°C,1000,hPa,Humid,3,0,0,22.981,128607.381826546,256549.001574747,23.1,41.6,0
2866193,2018-11-28 09:22:17,0.0555495266666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,160.093788006016,μmol/L,35.9427925609198,°C,1000,hPa,Humid,3,0,0,22.981,128607.556998493,256540.54643967,23.1,41.6,0
2866199,2018-11-28 09:22:18,0.0716130066666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,159.999021822391,μmol/L,35.9489802135654,°C,1000,hPa,Humid,3,0,0,22.986,128597.502772037,256518.859847778,23.1,41.6,0
2866211,2018-11-28 09:22:19,0.0884765883333333,OXY9 (PSt7-10),2018-06-22 13:46:20,default,160.053909339615,μmol/L,35.9489802135654,°C,1000,hPa,Humid,3,0,0,22.982,128599.484503921,256517.617219939,23.1,41.6,0
2866219,2018-11-28 09:22:20,0.105344368333333,OXY9 (PSt7-10),2018-06-22 13:46:20,default,159.95787110835,μmol/L,35.9489802135654,°C,1000,hPa,Humid,3,0,0,22.989,128608.365718417,256500.355150867,23.1,41.6,0
2866232,2018-11-28 09:22:21,0.122162885,OXY9 (PSt7-10),2018-06-22 13:46:20,default,159.972884185174,μmol/L,35.9551678776475,°C,1000,hPa,Humid,3,0,0,22.986,128619.831771811,256502.350964127,23.1,41.6,0
2866241,2018-11-28 09:22:22,0.138997431666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,159.971586592111,μmol/L,35.9489802135654,°C,1000,hPa,Humid,3,0,0,22.988,128615.893086006,256504.33742019,23.1,41.6,0
2866247,2018-11-28 09:22:23,0.154980341666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,159.945453387147,μmol/L,35.9551678776475,°C,1000,hPa,Humid,3,0,0,22.988,128624.198673175,256500.361240912,23.1,41.6,0
