Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
2866146,2018-11-28 09:22:11,0,OXY4 (PSt7-10),2018-06-27 09:56:10,default,128.252803733037,μmol/L,35.823563027594,°C,1000,hPa,Humid,36,1,0,22.726,120181.511995872,266962.678941191,55.9753010999125,46,0
2866154,2018-11-28 09:22:12,0.0202237483333333,OXY4 (PSt7-10),2018-06-27 09:56:10,default,128.260302734243,μmol/L,35.8173939096455,°C,1000,hPa,Humid,36,1,0,22.728,120156.466915832,266927.611527928,55.9753010999125,46,0
2866158,2018-11-28 09:22:13,0.03632875,OXY4 (PSt7-10),2018-06-27 09:56:10,default,128.245298881856,μmol/L,35.8297321569094,°C,1000,hPa,Humid,36,1,0,22.724,120141.223243753,266892.364637227,55.9753010999125,46,0
2866170,2018-11-28 09:22:14,0.0531523383333333,OXY4 (PSt7-10),2018-06-27 09:56:10,default,128.230714122159,μmol/L,35.823563027594,°C,1000,hPa,Humid,36,1,0,22.728,120132.51453875,266871.52492013,55.9753010999125,46,0
2866174,2018-11-28 09:22:15,0.0700750316666667,OXY4 (PSt7-10),2018-06-27 09:56:10,default,128.208629132176,μmol/L,35.823563027594,°C,1000,hPa,Humid,36,1,0,22.73,120132.712828527,266866.483816424,55.9753010999125,46,0
2866182,2018-11-28 09:22:16,0.0861498266666667,OXY4 (PSt7-10),2018-06-27 09:56:10,default,128.186548761771,μmol/L,35.823563027594,°C,1000,hPa,Humid,36,1,0,22.732,120129.307231071,266858.979691061,55.9753010999125,46,0
2866196,2018-11-28 09:22:17,0.10299772,OXY4 (PSt7-10),2018-06-27 09:56:10,default,128.205086281037,μmol/L,35.8173939096455,°C,1000,hPa,Humid,36,1,0,22.733,120123.441029602,266859.802335319,55.9753010999125,46,0
2866203,2018-11-28 09:22:18,0.119770656666667,OXY4 (PSt7-10),2018-06-27 09:56:10,default,128.175510308498,μmol/L,35.823563027594,°C,1000,hPa,Humid,36,1,0,22.733,120130.033165593,266850.171086951,55.9753010999125,46,0
2866209,2018-11-28 09:22:19,0.136621896666667,OXY4 (PSt7-10),2018-06-27 09:56:10,default,128.197588369609,μmol/L,35.823563027594,°C,1000,hPa,Humid,36,1,0,22.731,120136.153688738,266850.723258416,55.9753010999125,46,0
2866225,2018-11-28 09:22:20,0.153485781666667,OXY4 (PSt7-10),2018-06-27 09:56:10,default,128.156969906344,μmol/L,35.8297321569094,°C,1000,hPa,Humid,36,1,0,22.732,120128.577728477,266842.89363687,55.9753010999125,46,0
