Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
2857663,2018-11-28 09:04:55,0,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,159.337388480557,μmol/L,35.8875732956717,°C,1000,hPa,Humid,2,1,0,23.154,119155.379491955,364766.542283741,55.1842279120512,57.3,0
2857675,2018-11-28 09:04:56,0.0227717166666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,159.270989863574,μmol/L,35.8937135401106,°C,1000,hPa,Humid,2,1,0,23.157,119112.263325601,364700.85828263,55.1842279120512,57.3,0
2857689,2018-11-28 09:04:57,0.03971875,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,159.284597449982,μmol/L,35.8937135401106,°C,1000,hPa,Humid,2,1,0,23.156,119092.501030283,364636.069164823,55.1842279120512,57.3,0
2857698,2018-11-28 09:04:58,0.05673989,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,159.284597449982,μmol/L,35.8937135401106,°C,1000,hPa,Humid,2,1,0,23.156,119075.518605306,364607.284712796,55.1842279120512,57.3,0
2857706,2018-11-28 09:04:59,0.0728468616666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,159.284597449982,μmol/L,35.8937135401106,°C,1000,hPa,Humid,2,1,0,23.156,119047.13774292,364588.833681874,55.1842279120512,57.3,0
2857716,2018-11-28 09:05:00,0.0898015216666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,159.284597449982,μmol/L,35.8937135401106,°C,1000,hPa,Humid,2,1,0,23.156,119037.517167025,364583.466819005,55.1842279120512,57.3,0
2857724,2018-11-28 09:05:01,0.10671957,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,159.27291403922,μmol/L,35.8875732956717,°C,999,hPa,Humid,2,1,0,23.158,119026.497037841,364552.91421744,55.1842279120512,57.3,0
2857734,2018-11-28 09:05:02,0.12357392,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,159.230175504326,μmol/L,35.8937135401106,°C,1000,hPa,Humid,2,1,0,23.16,118992.338532918,364551.301689097,55.1842279120512,57.3,0
2857743,2018-11-28 09:05:03,0.13959905,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,159.257383677293,μmol/L,35.8937135401106,°C,1000,hPa,Humid,2,1,0,23.158,118983.574796002,364551.981705297,55.1842279120512,57.3,0
2857752,2018-11-28 09:05:04,0.156460876666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,159.230175504326,μmol/L,35.8937135401106,°C,1000,hPa,Humid,2,1,0,23.16,118961.416419089,364543.721045872,55.1842279120512,57.3,0
