Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
2857637,2018-11-28 09:04:50,0,OXY2 (PSt7-10),2018-06-27 09:55:47,default,153.91184115268,μmol/L,35.6842754034628,°C,1000,hPa,Humid,36,0,0,20.613,104362.32595449,192639.860998004,26.25,55.3,0
2857640,2018-11-28 09:04:51,0.0161405766666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,153.808130662621,μmol/L,35.6781618165533,°C,1000,hPa,Humid,36,0,0,20.623,104353.120440038,192599.578291714,26.25,55.3,0
2857644,2018-11-28 09:04:52,0.0331154366666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,153.78709606247,μmol/L,35.6842754034628,°C,1000,hPa,Humid,36,0,0,20.622,104349.655631014,192579.63975622,26.25,55.3,0
2857653,2018-11-28 09:04:53,0.04943079,OXY2 (PSt7-10),2018-06-27 09:55:47,default,153.814806162774,μmol/L,35.6842754034628,°C,1000,hPa,Humid,36,0,0,20.62,104336.666508671,192572.064159247,26.25,55.3,0
2857657,2018-11-28 09:04:54,0.0663100533333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,153.717848368984,μmol/L,35.6842754034628,°C,1000,hPa,Humid,36,0,0,20.627,104327.186497252,192557.779098421,26.25,55.3,0
2857665,2018-11-28 09:04:55,0.0831992233333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,153.655291323501,μmol/L,35.690389001536,°C,1000,hPa,Humid,36,0,0,20.629,104337.001451544,192547.420130251,26.25,55.3,0
2857677,2018-11-28 09:04:56,0.100083533333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,153.676318639588,μmol/L,35.6842754034628,°C,1000,hPa,Humid,36,0,0,20.63,104341.277578437,192545.874560305,26.25,55.3,0
2857682,2018-11-28 09:04:57,0.116174791666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,153.620967687939,μmol/L,35.6842754034628,°C,1000,hPa,Humid,36,0,0,20.634,104352.705203597,192532.641382204,26.25,55.3,0
2857697,2018-11-28 09:04:58,0.133179318333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,153.669659176928,μmol/L,35.6781618165533,°C,1000,hPa,Humid,36,0,0,20.633,104353.48031199,192537.680950175,26.25,55.3,0
2857701,2018-11-28 09:04:59,0.150084118333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,153.676318639588,μmol/L,35.6842754034628,°C,1000,hPa,Humid,36,0,0,20.63,104356.611975869,192542.350702376,26.25,55.3,0
2857708,2018-11-28 09:05:00,0.166307398333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,153.628148408459,μmol/L,35.6781618165533,°C,1000,hPa,Humid,36,0,0,20.636,104356.141208094,192535.015519479,26.25,55.3,0
2857717,2018-11-28 09:05:01,0.183225451666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,153.620967687939,μmol/L,35.6842754034628,°C,1000,hPa,Humid,36,0,0,20.634,104360.800148647,192539.909094669,26.25,55.3,0
2857732,2018-11-28 09:05:02,0.200079235,OXY2 (PSt7-10),2018-06-27 09:55:47,default,153.551814367239,μmol/L,35.6842754034628,°C,1000,hPa,Humid,36,0,0,20.639,104366.724809944,192542.750620136,26.25,55.3,0
2857737,2018-11-28 09:05:03,0.216104831666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,153.544626924163,μmol/L,35.690389001536,°C,1000,hPa,Humid,36,0,0,20.637,104377.468752453,192536.009898878,26.25,55.3,0
2857745,2018-11-28 09:05:04,0.232966758333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,153.544626924163,μmol/L,35.690389001536,°C,1000,hPa,Humid,36,0,0,20.637,104375.918568995,192534.347018284,26.25,55.3,0
2857759,2018-11-28 09:05:05,0.249803638333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,153.50315370176,μmol/L,35.690389001536,°C,1000,hPa,Humid,36,0,0,20.64,104392.502457603,192530.271663467,26.25,55.3,0
2857766,2018-11-28 09:05:06,0.266676955,OXY2 (PSt7-10),2018-06-27 09:55:47,default,153.52416403638,μmol/L,35.6842754034628,°C,1000,hPa,Humid,36,0,0,20.641,104379.008009175,192539.510873463,26.25,55.3,0
2857773,2018-11-28 09:05:07,0.282730713333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,153.510341226572,μmol/L,35.6842754034628,°C,1000,hPa,Humid,36,0,0,20.642,104367.891268146,192522.398880401,26.25,55.3,0
2857787,2018-11-28 09:05:08,0.299600173333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,153.50315370176,μmol/L,35.690389001536,°C,1000,hPa,Humid,36,0,0,20.64,104380.851024361,192534.70262052,26.25,55.3,0
2857796,2018-11-28 09:05:09,0.31646512,OXY2 (PSt7-10),2018-06-27 09:55:47,default,153.50315370176,μmol/L,35.690389001536,°C,1000,hPa,Humid,36,0,0,20.64,104375.633431022,192535.857932057,26.25,55.3,0
2857801,2018-11-28 09:05:10,0.333391411666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,153.52416403638,μmol/L,35.6842754034628,°C,1000,hPa,Humid,36,0,0,20.641,104368.615703408,192526.103412379,26.25,55.3,0
2857809,2018-11-28 09:05:11,0.349490655,OXY2 (PSt7-10),2018-06-27 09:55:47,default,153.503700959333,μmol/L,35.6781618165533,°C,1000,hPa,Humid,36,0,0,20.645,104372.345821571,192520.189962509,26.25,55.3,0
2857816,2018-11-28 09:05:12,0.366443465,OXY2 (PSt7-10),2018-06-27 09:55:47,default,153.517522171585,μmol/L,35.6781618165533,°C,1000,hPa,Humid,36,0,0,20.644,104372.173690127,192519.83530203,26.25,55.3,0
2857827,2018-11-28 09:05:13,0.38335152,OXY2 (PSt7-10),2018-06-27 09:55:47,default,153.427437331159,μmol/L,35.6842754034628,°C,1000,hPa,Humid,36,0,0,20.648,104380.49468109,192524.845734397,26.25,55.3,0
2857836,2018-11-28 09:05:14,0.399551245,OXY2 (PSt7-10),2018-06-27 09:55:47,default,153.358393891433,μmol/L,35.6842754034628,°C,1000,hPa,Humid,36,0,0,20.653,104382.428490336,192523.598508677,26.25,55.3,0
2857844,2018-11-28 09:05:15,0.416396941666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,153.337402066891,μmol/L,35.690389001536,°C,1000,hPa,Humid,36,0,0,20.652,104379.629408175,192515.368414181,26.25,55.3,0
2857855,2018-11-28 09:05:16,0.433264978333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,153.337402066891,μmol/L,35.690389001536,°C,1000,hPa,Humid,36,0,0,20.652,104383.573457152,192518.003567361,26.25,55.3,0
2857866,2018-11-28 09:05:17,0.450110863333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,153.351771172617,μmol/L,35.6781618165533,°C,1000,hPa,Humid,36,0,0,20.656,104393.7204775,192512.942424933,26.25,55.3,0
2857871,2018-11-28 09:05:18,0.466081176666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,153.337402066891,μmol/L,35.690389001536,°C,1000,hPa,Humid,36,0,0,20.652,104382.086918427,192509.832003075,26.25,55.3,0
2857882,2018-11-28 09:05:19,0.482904746666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,153.309798748176,μmol/L,35.690389001536,°C,1000,hPa,Humid,36,0,0,20.654,104395.856829324,192517.889291714,26.25,55.3,0
2857891,2018-11-28 09:05:20,0.49977218,OXY2 (PSt7-10),2018-06-27 09:55:47,default,153.372199443552,μmol/L,35.6842754034628,°C,1000,hPa,Humid,36,0,0,20.652,104395.262304157,192515.273403731,26.25,55.3,0
2857899,2018-11-28 09:05:21,0.516644301666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,153.268405520775,μmol/L,35.690389001536,°C,1000,hPa,Humid,36,0,0,20.657,104238.168140471,192520.343301263,26.25,55.3,0
2857907,2018-11-28 09:05:22,0.53268485,OXY2 (PSt7-10),2018-06-27 09:55:47,default,153.268405520775,μmol/L,35.690389001536,°C,1000,hPa,Humid,36,0,0,20.657,104405.983196086,192513.007180713,26.25,55.3,0
2857917,2018-11-28 09:05:23,0.549552805,OXY2 (PSt7-10),2018-06-27 09:55:47,default,153.268405520775,μmol/L,35.690389001536,°C,1000,hPa,Humid,36,0,0,20.657,104371.162203659,192512.309755865,26.25,55.3,0
2857925,2018-11-28 09:05:24,0.566430136666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,153.275593486287,μmol/L,35.6842754034628,°C,1000,hPa,Humid,36,0,0,20.659,104351.646315534,192511.228102098,26.25,55.3,0
2857937,2018-11-28 09:05:25,0.583320356666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,153.303187354838,μmol/L,35.6842754034628,°C,1000,hPa,Humid,36,0,0,20.657,104361.32694338,192513.260979986,26.25,55.3,0
2857943,2018-11-28 09:05:26,0.599389563333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,153.248005881657,μmol/L,35.6842754034628,°C,1000,hPa,Humid,36,0,0,20.661,104547.32178777,192509.644741528,26.25,55.3,0
2857955,2018-11-28 09:05:27,0.616293458333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,153.192253465847,μmol/L,35.6965026107719,°C,1000,hPa,Humid,36,0,0,20.66,104417.92539935,192504.430663449,26.25,55.3,0
2857965,2018-11-28 09:05:28,0.63322067,OXY2 (PSt7-10),2018-06-27 09:55:47,default,153.164681417494,μmol/L,35.6965026107719,°C,1000,hPa,Humid,36,0,0,20.662,104405.807709912,192512.092053402,26.25,55.3,0
2857969,2018-11-28 09:05:29,0.649295295,OXY2 (PSt7-10),2018-06-27 09:55:47,default,153.303187354838,μmol/L,35.6842754034628,°C,1000,hPa,Humid,36,0,0,20.657,104370.286435418,192509.171774651,26.25,55.3,0
2857981,2018-11-28 09:05:30,0.666241333333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,153.227026388384,μmol/L,35.690389001536,°C,1000,hPa,Humid,36,0,0,20.66,104412.084572273,192509.026837967,26.25,55.3,0
2857989,2018-11-28 09:05:31,0.683208516666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,153.213236475351,μmol/L,35.690389001536,°C,1000,hPa,Humid,36,0,0,20.661,104377.964483138,192505.846561739,26.25,55.3,0
2858000,2018-11-28 09:05:32,0.700056763333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,153.275593486287,μmol/L,35.6842754034628,°C,1000,hPa,Humid,36,0,0,20.659,104365.936304551,192503.420343257,26.25,55.3,0
2858005,2018-11-28 09:05:33,0.71608404,OXY2 (PSt7-10),2018-06-27 09:55:47,default,153.213236475351,μmol/L,35.690389001536,°C,1000,hPa,Humid,36,0,0,20.661,104341.763625466,192506.157920524,26.25,55.3,0
2858017,2018-11-28 09:05:34,0.732997071666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,153.220424539018,μmol/L,35.6842754034628,°C,1000,hPa,Humid,36,0,0,20.663,104356.095382074,192502.43161892,26.25,55.3,0
2858025,2018-11-28 09:05:35,0.749986508333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,153.206636215342,μmol/L,35.6842754034628,°C,1000,hPa,Humid,36,0,0,20.664,104368.716338691,192508.284600637,26.25,55.3,0
