Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
2874423,2018-11-28 10:00:24,0,OXY6 (PSt7-10),2018-06-27 09:56:38,default,127.565228127135,μmol/L,36.030323989798,°C,1001,hPa,Humid,36,1,0,22.699,126629.678647231,378955.420531513,58.084829600876,24,0
2874429,2018-11-28 10:00:25,0.0186153316666667,OXY6 (PSt7-10),2018-06-27 09:56:38,default,127.572855575197,μmol/L,36.0241665357553,°C,1001,hPa,Humid,36,1,0,22.701,126598.649215251,378890.60552585,58.084829600876,24,0
2874436,2018-11-28 10:00:26,0.0348235133333333,OXY6 (PSt7-10),2018-06-27 09:56:38,default,127.550871628431,μmol/L,36.0241665357553,°C,1001,hPa,Humid,36,1,0,22.703,126580.208320123,378848.260424651,58.084829600876,24,0
2874446,2018-11-28 10:00:27,0.0516882033333333,OXY6 (PSt7-10),2018-06-27 09:56:38,default,127.473964057233,μmol/L,36.0241665357553,°C,1001,hPa,Humid,36,1,0,22.71,126573.243922111,378821.003673058,58.084829600876,24,0
2874460,2018-11-28 10:00:28,0.0686452116666667,OXY6 (PSt7-10),2018-06-27 09:56:38,default,127.411440348462,μmol/L,36.030323989798,°C,1001,hPa,Humid,36,1,0,22.713,126566.321471689,378793.39779481,58.084829600876,24,0
2874466,2018-11-28 10:00:29,0.0854648483333333,OXY6 (PSt7-10),2018-06-27 09:56:38,default,127.419064571449,μmol/L,36.0241665357553,°C,1001,hPa,Humid,36,1,0,22.715,126558.840467459,378783.695132307,58.084829600876,24,0
2874471,2018-11-28 10:00:30,0.102277751666667,OXY6 (PSt7-10),2018-06-27 09:56:38,default,127.353223099007,μmol/L,36.0241665357553,°C,1001,hPa,Humid,36,1,0,22.721,126548.64605321,378768.996157284,58.084829600876,24,0
2874486,2018-11-28 10:00:31,0.118276333333333,OXY6 (PSt7-10),2018-06-27 09:56:38,default,127.334630933084,μmol/L,36.030323989798,°C,1001,hPa,Humid,36,1,0,22.72,126542.028786115,378753.153722243,58.084829600876,24,0
2874495,2018-11-28 10:00:32,0.135153098333333,OXY6 (PSt7-10),2018-06-27 09:56:38,default,127.353223099007,μmol/L,36.0241665357553,°C,1001,hPa,Humid,36,1,0,22.721,126533.776219797,378746.190853442,58.084829600876,24,0
2874504,2018-11-28 10:00:33,0.151992735,OXY6 (PSt7-10),2018-06-27 09:56:38,default,127.320317861292,μmol/L,36.0241665357553,°C,1001,hPa,Humid,36,1,0,22.724,126537.678110941,378745.440989863,58.084829600876,24,0
2874514,2018-11-28 10:00:34,0.168849261666667,OXY6 (PSt7-10),2018-06-27 09:56:38,default,127.265498743886,μmol/L,36.0241665357553,°C,1001,hPa,Humid,36,1,0,22.729,126531.44641522,378737.745809423,58.084829600876,24,0
2874523,2018-11-28 10:00:35,0.185646798333333,OXY6 (PSt7-10),2018-06-27 09:56:38,default,127.273113805918,μmol/L,36.0180090930389,°C,1001,hPa,Humid,36,1,0,22.731,126535.794835956,378732.445382228,58.084829600876,24,0
2874529,2018-11-28 10:00:36,0.201624373333333,OXY6 (PSt7-10),2018-06-27 09:56:38,default,127.225000743701,μmol/L,36.030323989798,°C,1001,hPa,Humid,36,1,0,22.73,126524.963152318,378739.523842102,58.084829600876,24,0
2874540,2018-11-28 10:00:37,0.218616873333333,OXY6 (PSt7-10),2018-06-27 09:56:38,default,127.170228639349,μmol/L,36.030323989798,°C,1001,hPa,Humid,36,1,0,22.735,126514.903670352,378703.25179837,58.084829600876,24,0
2874550,2018-11-28 10:00:38,0.235513758333333,OXY6 (PSt7-10),2018-06-27 09:56:38,default,127.170228639349,μmol/L,36.030323989798,°C,1001,hPa,Humid,36,1,0,22.735,126512.931370468,378706.094660152,58.084829600876,24,0
2874551,2018-11-28 10:00:39,0.25150872,OXY6 (PSt7-10),2018-06-27 09:56:38,default,127.144997554332,μmol/L,36.0241665357553,°C,1001,hPa,Humid,36,1,0,22.74,126494.439795421,378710.348994361,58.084829600876,24,0
2874561,2018-11-28 10:00:40,0.268350383333333,OXY6 (PSt7-10),2018-06-27 09:56:38,default,127.126431572579,μmol/L,36.030323989798,°C,1001,hPa,Humid,36,1,0,22.739,126491.216979711,378704.855609328,58.084829600876,24,0
2874570,2018-11-28 10:00:41,0.285187111666667,OXY6 (PSt7-10),2018-06-27 09:56:38,default,127.101213294309,μmol/L,36.0241665357553,°C,1001,hPa,Humid,36,1,0,22.744,126494.77840935,378705.682713394,58.084829600876,24,0
2874579,2018-11-28 10:00:42,0.302010355,OXY6 (PSt7-10),2018-06-27 09:56:38,default,127.090270089988,μmol/L,36.0241665357553,°C,1001,hPa,Humid,36,1,0,22.745,126508.362209413,378712.331084982,58.084829600876,24,0
2874589,2018-11-28 10:00:43,0.318899575,OXY6 (PSt7-10),2018-06-27 09:56:38,default,127.038892372489,μmol/L,36.030323989798,°C,1001,hPa,Humid,36,1,0,22.747,126504.478536411,378699.591656431,58.084829600876,24,0
2874597,2018-11-28 10:00:44,0.33491762,OXY6 (PSt7-10),2018-06-27 09:56:38,default,127.057447340056,μmol/L,36.0241665357553,°C,1001,hPa,Humid,36,1,0,22.748,126505.112143873,378686.631852228,58.084829600876,24,0
2874606,2018-11-28 10:00:45,0.35177214,OXY6 (PSt7-10),2018-06-27 09:56:38,default,126.954734980971,μmol/L,36.0364814551644,°C,1001,hPa,Humid,36,1,0,22.752,126497.640575843,378673.215623277,58.084829600876,24,0
