Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
2883471,2018-11-28 10:20:04,0,OXY2 (PSt7-10),2018-06-27 09:55:47,default,136.473827151204,μmol/L,36.0939111593884,°C,1000,hPa,Humid,36,0,0,21.793,120289.156166394,192102.535090037,26.25,55.3,0
2883473,2018-11-28 10:20:05,0.0227461666666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,136.430356187986,μmol/L,36.1000255055396,°C,1000,hPa,Humid,36,0,0,21.794,120272.772333132,192078.661354385,26.25,55.3,0
2883477,2018-11-28 10:20:06,0.0395880383333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,136.382461183719,μmol/L,36.1000255055396,°C,1000,hPa,Humid,36,0,0,21.798,120267.225551387,192058.327449844,26.25,55.3,0
2883479,2018-11-28 10:20:07,0.0556133833333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,136.31179523762,μmol/L,36.1061398628581,°C,1001,hPa,Humid,36,0,0,21.802,120252.242681449,192037.253977148,26.25,55.3,0
2883484,2018-11-28 10:20:08,0.0728728766666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,136.403113746896,μmol/L,36.1000255055396,°C,1001,hPa,Humid,36,0,0,21.797,120253.030929384,192029.167896407,26.25,55.3,0
2883489,2018-11-28 10:20:09,0.0888863666666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,136.33572579417,μmol/L,36.1061398628581,°C,1001,hPa,Humid,36,0,0,21.8,120251.801170751,192019.863388053,26.25,55.3,0
2883495,2018-11-28 10:20:10,0.105751866666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,136.403113746896,μmol/L,36.1000255055396,°C,1001,hPa,Humid,36,0,0,21.797,120246.172413962,192020.524682182,26.25,55.3,0
2883500,2018-11-28 10:20:11,0.122610131666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,136.347693019404,μmol/L,36.1061398628581,°C,1001,hPa,Humid,36,0,0,21.799,120237.314729443,192013.473547831,26.25,55.3,0
2883511,2018-11-28 10:20:12,0.139503365,OXY2 (PSt7-10),2018-06-27 09:55:47,default,136.28786987168,μmol/L,36.1061398628581,°C,1001,hPa,Humid,36,0,0,21.804,120247.573531898,192013.32543287,26.25,55.3,0
2883515,2018-11-28 10:20:13,0.156360931666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,136.31179523762,μmol/L,36.1061398628581,°C,1001,hPa,Humid,36,0,0,21.802,120245.66022468,192008.574602454,26.25,55.3,0
