Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
2874415,2018-11-28 10:00:21,0,OXY2 (PSt7-10),2018-06-27 09:55:47,default,149.353892262539,μmol/L,36.1000255055396,°C,1001,hPa,Humid,36,0,0,20.775,112388.133226972,192528.875234168,26.25,55.3,0
2874416,2018-11-28 10:00:22,0.00950090833333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,149.300274215475,μmol/L,36.1000255055396,°C,1001,hPa,Humid,36,0,0,20.779,112347.466035105,192474.296691003,26.25,55.3,0
2874419,2018-11-28 10:00:23,0.0263511733333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,149.327080210104,μmol/L,36.1000255055396,°C,1001,hPa,Humid,36,0,0,20.777,112344.837619436,192475.328254164,26.25,55.3,0
2874424,2018-11-28 10:00:24,0.0424505116666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,149.300274215475,μmol/L,36.1000255055396,°C,1001,hPa,Humid,36,0,0,20.779,112338.764958496,192457.649698395,26.25,55.3,0
2874433,2018-11-28 10:00:25,0.0596024583333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,149.204613651846,μmol/L,36.1122542313442,°C,1001,hPa,Humid,36,0,0,20.781,112331.052100621,192453.981828008,26.25,55.3,0
2874441,2018-11-28 10:00:26,0.076509425,OXY2 (PSt7-10),2018-06-27 09:55:47,default,149.212256485032,μmol/L,36.1061398628581,°C,1001,hPa,Humid,36,0,0,20.783,112329.991224684,192447.306266948,26.25,55.3,0
2874445,2018-11-28 10:00:27,0.0925778833333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,149.200740016531,μmol/L,36.0939111593884,°C,1001,hPa,Humid,36,0,0,20.789,112332.99659175,192432.621196008,26.25,55.3,0
2874453,2018-11-28 10:00:28,0.10958477,OXY2 (PSt7-10),2018-06-27 09:55:47,default,149.131929534098,μmol/L,36.1061398628581,°C,1001,hPa,Humid,36,0,0,20.789,112338.866163589,192445.40467709,26.25,55.3,0
2874467,2018-11-28 10:00:29,0.126404406666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,149.118546999918,μmol/L,36.1061398628581,°C,1001,hPa,Humid,36,0,0,20.79,112342.377142517,192438.852434702,26.25,55.3,0
2874473,2018-11-28 10:00:30,0.14321731,OXY2 (PSt7-10),2018-06-27 09:55:47,default,149.091786464594,μmol/L,36.1061398628581,°C,1001,hPa,Humid,36,0,0,20.792,112338.389244615,192429.126311667,26.25,55.3,0
2874481,2018-11-28 10:00:31,0.159215891666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,149.065031971771,μmol/L,36.1061398628581,°C,1001,hPa,Humid,36,0,0,20.794,112345.875205358,192424.80478888,26.25,55.3,0
2874488,2018-11-28 10:00:32,0.176092656666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,149.024911558176,μmol/L,36.1061398628581,°C,1001,hPa,Humid,36,0,0,20.797,112345.723544096,192420.598890065,26.25,55.3,0
2874498,2018-11-28 10:00:33,0.1929489,OXY2 (PSt7-10),2018-06-27 09:55:47,default,149.032547039819,μmol/L,36.1000255055396,°C,1001,hPa,Humid,36,0,0,20.799,112348.551554078,192433.318819604,26.25,55.3,0
2874509,2018-11-28 10:00:34,0.209805415,OXY2 (PSt7-10),2018-06-27 09:55:47,default,149.099422160753,μmol/L,36.1000255055396,°C,1001,hPa,Humid,36,0,0,20.794,112342.555916207,192424.658780764,26.25,55.3,0
2874515,2018-11-28 10:00:35,0.225766005,OXY2 (PSt7-10),2018-06-27 09:55:47,default,149.019176544605,μmol/L,36.1000255055396,°C,1001,hPa,Humid,36,0,0,20.8,112345.915862505,192421.943125676,26.25,55.3,0
2874526,2018-11-28 10:00:36,0.242597806666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,148.992440081298,μmol/L,36.1000255055396,°C,1001,hPa,Humid,36,0,0,20.802,112350.532533348,192419.69958945,26.25,55.3,0
2874534,2018-11-28 10:00:37,0.259556431666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,148.931350080361,μmol/L,36.1061398628581,°C,1001,hPa,Humid,36,0,0,20.804,112350.383572337,192422.357259389,26.25,55.3,0
2874545,2018-11-28 10:00:38,0.276503213333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,148.958074388454,μmol/L,36.1061398628581,°C,1001,hPa,Humid,36,0,0,20.802,112359.990270142,192422.087356736,26.25,55.3,0
2874553,2018-11-28 10:00:39,0.292481498333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,148.904631803662,μmol/L,36.1061398628581,°C,1001,hPa,Humid,36,0,0,20.806,112361.095751523,192424.797063026,26.25,55.3,0
2874565,2018-11-28 10:00:40,0.309339813333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,148.992440081298,μmol/L,36.1000255055396,°C,1001,hPa,Humid,36,0,0,20.802,112361.383220723,192423.570088823,26.25,55.3,0
2874572,2018-11-28 10:00:41,0.326143303333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,148.870277811562,μmol/L,36.1122542313442,°C,1001,hPa,Humid,36,0,0,20.806,112362.527741221,192411.556714057,26.25,55.3,0
2874584,2018-11-28 10:00:42,0.342949913333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,148.870277811562,μmol/L,36.1122542313442,°C,1001,hPa,Humid,36,0,0,20.806,112363.479639041,192416.081256645,26.25,55.3,0
2874594,2018-11-28 10:00:43,0.359839133333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,148.837862487134,μmol/L,36.1061398628581,°C,1001,hPa,Humid,36,0,0,20.811,112363.155580022,192408.38172774,26.25,55.3,0
2874601,2018-11-28 10:00:44,0.375857178333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,148.837862487134,μmol/L,36.1061398628581,°C,1001,hPa,Humid,36,0,0,20.811,112357.131223413,192410.713550647,26.25,55.3,0
2874610,2018-11-28 10:00:45,0.392711698333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,148.763489445332,μmol/L,36.1122542313442,°C,1001,hPa,Humid,36,0,0,20.814,112357.705262198,192413.858993347,26.25,55.3,0
2874618,2018-11-28 10:00:46,0.40952165,OXY2 (PSt7-10),2018-06-27 09:55:47,default,148.778765465841,μmol/L,36.1000255055396,°C,1001,hPa,Humid,36,0,0,20.818,112360.293089769,192412.849652006,26.25,55.3,0
2874628,2018-11-28 10:00:47,0.426371468333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,148.771130826398,μmol/L,36.1061398628581,°C,1001,hPa,Humid,36,0,0,20.816,112370.008086964,192404.335840099,26.25,55.3,0
2874639,2018-11-28 10:00:48,0.443220595,OXY2 (PSt7-10),2018-06-27 09:55:47,default,148.765423604342,μmol/L,36.1000255055396,°C,1001,hPa,Humid,36,0,0,20.819,112374.465654623,192405.789300117,26.25,55.3,0
2874647,2018-11-28 10:00:49,0.459246776666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,148.765423604342,μmol/L,36.1000255055396,°C,1001,hPa,Humid,36,0,0,20.819,112377.674672604,192398.481891165,26.25,55.3,0
2874655,2018-11-28 10:00:50,0.476089328333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,148.752083247571,μmol/L,36.1000255055396,°C,1001,hPa,Humid,36,0,0,20.82,112381.949816578,192407.264101755,26.25,55.3,0
2874665,2018-11-28 10:00:51,0.492932225,OXY2 (PSt7-10),2018-06-27 09:55:47,default,148.691102498555,μmol/L,36.1061398628581,°C,1001,hPa,Humid,36,0,0,20.822,112382.083295591,192395.568593753,26.25,55.3,0
2874672,2018-11-28 10:00:52,0.509804118333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,148.691102498555,μmol/L,36.1061398628581,°C,1001,hPa,Humid,36,0,0,20.822,112382.168550404,192395.750880943,26.25,55.3,0
2874680,2018-11-28 10:00:53,0.525814121666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,148.645414536012,μmol/L,36.1000255055396,°C,1001,hPa,Humid,36,0,0,20.828,112377.481813059,192390.507619196,26.25,55.3,0
2874691,2018-11-28 10:00:54,0.542669931666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,148.544524457128,μmol/L,36.1061398628581,°C,1001,hPa,Humid,36,0,0,20.833,112374.555371339,192389.636301477,26.25,55.3,0
2874700,2018-11-28 10:00:55,0.559496213333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,148.632087711438,μmol/L,36.1000255055396,°C,1001,hPa,Humid,36,0,0,20.829,112389.686874023,192397.529756706,26.25,55.3,0
2874710,2018-11-28 10:00:56,0.576339035,OXY2 (PSt7-10),2018-06-27 09:55:47,default,148.664438421292,μmol/L,36.1061398628581,°C,1001,hPa,Humid,36,0,0,20.824,112390.202152978,192393.411371627,26.25,55.3,0
2874718,2018-11-28 10:00:57,0.593189973333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,148.544524457128,μmol/L,36.1061398628581,°C,1001,hPa,Humid,36,0,0,20.833,112395.18310332,192391.568453702,26.25,55.3,0
2874724,2018-11-28 10:00:58,0.609230138333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,148.592116251352,μmol/L,36.1000255055396,°C,1001,hPa,Humid,36,0,0,20.832,112399.931276713,192388.139086266,26.25,55.3,0
