Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
2900036,2018-11-28 11:14:56,0,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,149.281838044053,μmol/L,36.8701556941151,°C,1000,hPa,Humid,4,1,0,23.455,125380.483924547,362731.500775306,55.1842279120512,57.3,0
2900053,2018-11-28 11:14:57,0.021899195,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,149.281838044053,μmol/L,36.8701556941151,°C,1000,hPa,Humid,4,1,0,23.455,125373.977717136,362695.270579117,55.1842279120512,57.3,0
2900062,2018-11-28 11:14:58,0.0380562666666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,149.268217127898,μmol/L,36.864013658314,°C,1000,hPa,Humid,4,1,0,23.458,125346.337414301,362634.913883115,55.1842279120512,57.3,0
2900071,2018-11-28 11:14:59,0.0548971416666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,149.306294470851,μmol/L,36.864013658314,°C,1000,hPa,Humid,4,1,0,23.455,125348.317208739,362615.982294144,55.1842279120512,57.3,0
2900080,2018-11-28 11:15:00,0.0717854866666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,149.279979354018,μmol/L,36.8578716337838,°C,1000,hPa,Humid,4,1,0,23.459,125337.496791355,362601.650796436,55.1842279120512,57.3,0
2900089,2018-11-28 11:15:01,0.0886285283333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,149.280908284012,μmol/L,36.864013658314,°C,1000,hPa,Humid,4,1,0,23.457,125338.17611158,362582.183879016,55.1842279120512,57.3,0
2900095,2018-11-28 11:15:02,0.10461636,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,149.293600731603,μmol/L,36.864013658314,°C,1000,hPa,Humid,4,1,0,23.456,125321.184879479,362560.423297678,55.1842279120512,57.3,0
2900106,2018-11-28 11:15:03,0.121466871666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,149.329824577011,μmol/L,36.851729620525,°C,1000,hPa,Humid,4,1,0,23.457,125334.969228048,362579.19352483,55.1842279120512,57.3,0
2900108,2018-11-28 11:15:04,0.138309931666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,149.293600731603,μmol/L,36.864013658314,°C,1000,hPa,Humid,4,1,0,23.456,125327.307698023,362542.920889323,55.1842279120512,57.3,0
2900119,2018-11-28 11:15:05,0.155191636666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,149.254599387086,μmol/L,36.8578716337838,°C,1000,hPa,Humid,4,1,0,23.461,125341.505415259,362559.319587974,55.1842279120512,57.3,0
2900126,2018-11-28 11:15:06,0.171187568333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,149.304435332825,μmol/L,36.851729620525,°C,1000,hPa,Humid,4,1,0,23.459,125343.8685955,362562.912079726,55.1842279120512,57.3,0
2900140,2018-11-28 11:15:07,0.188026538333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,149.26728872498,μmol/L,36.8578716337838,°C,1000,hPa,Humid,4,1,0,23.46,125338.970054075,362556.608035924,55.1842279120512,57.3,0
2900144,2018-11-28 11:15:08,0.20488277,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,149.254599387086,μmol/L,36.8578716337838,°C,1000,hPa,Humid,4,1,0,23.461,125347.511130709,362559.217168173,55.1842279120512,57.3,0
2900158,2018-11-28 11:15:09,0.221726975,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,149.241911340159,μmol/L,36.8578716337838,°C,1000,hPa,Humid,4,1,0,23.462,125339.169427741,362561.266583969,55.1842279120512,57.3,0
2900163,2018-11-28 11:15:10,0.238579795,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,149.241911340159,μmol/L,36.8578716337838,°C,1000,hPa,Humid,4,1,0,23.462,125359.841325345,362561.044680873,55.1842279120512,57.3,0
2900175,2018-11-28 11:15:11,0.254632338333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,149.253672341416,μmol/L,36.851729620525,°C,1000,hPa,Humid,4,1,0,23.463,125350.769433711,362547.556484056,55.1842279120512,57.3,0
2900183,2018-11-28 11:15:12,0.271478676666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,149.203854943375,μmol/L,36.8578716337838,°C,1000,hPa,Humid,4,1,0,23.465,125368.256230351,362554.59835019,55.1842279120512,57.3,0
2900193,2018-11-28 11:15:13,0.288389971666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,149.216539118483,μmol/L,36.8578716337838,°C,1000,hPa,Humid,4,1,0,23.464,125346.793087293,362567.652123669,55.1842279120512,57.3,0
2900206,2018-11-28 11:15:14,0.305275013333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,149.192097302164,μmol/L,36.864013658314,°C,1000,hPa,Humid,4,1,0,23.464,125356.333103071,362529.401362504,55.1842279120512,57.3,0
2900212,2018-11-28 11:15:15,0.321279315,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,149.191172058514,μmol/L,36.8578716337838,°C,1000,hPa,Humid,4,1,0,23.466,125343.678055613,362526.299458638,55.1842279120512,57.3,0
2900221,2018-11-28 11:15:16,0.338124111666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,149.217465414616,μmol/L,36.864013658314,°C,1000,hPa,Humid,4,1,0,23.462,125358.876864294,362544.851875436,55.1842279120512,57.3,0
2900229,2018-11-28 11:15:17,0.354998221666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,149.203854943375,μmol/L,36.8578716337838,°C,1000,hPa,Humid,4,1,0,23.465,125352.731974083,362538.474429787,55.1842279120512,57.3,0
