Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
2891658,2018-11-28 10:57:23,0,OXY3 (PSt7-10),2018-06-27 09:55:59,default,121.690961373454,μmol/L,37.6819448261804,°C,1000,hPa,Humid,36,1,0,22.416,128097.479350252,277682.208960546,60.7217402270804,36,0
2891665,2018-11-28 10:57:24,0.02127993,OXY3 (PSt7-10),2018-06-27 09:55:59,default,121.690961373454,μmol/L,37.6819448261804,°C,1000,hPa,Humid,36,1,0,22.416,128026.773423118,277608.484845114,60.7217402270804,36,0
2891672,2018-11-28 10:57:25,0.0377416766666667,OXY3 (PSt7-10),2018-06-27 09:55:59,default,121.638210444317,μmol/L,37.6819448261804,°C,1000,hPa,Humid,36,1,0,22.421,128018.88766666,277551.55946883,60.7217402270804,36,0
2891679,2018-11-28 10:57:26,0.0547743016666667,OXY3 (PSt7-10),2018-06-27 09:55:59,default,121.659307463995,μmol/L,37.6819448261804,°C,1000,hPa,Humid,36,1,0,22.419,127995.684864291,277511.014175929,60.7217402270804,36,0
2891695,2018-11-28 10:57:27,0.0716543716666667,OXY3 (PSt7-10),2018-06-27 09:55:59,default,121.648758395601,μmol/L,37.6819448261804,°C,1000,hPa,Humid,36,1,0,22.42,127978.725812372,277493.344735529,60.7217402270804,36,0
2891700,2018-11-28 10:57:28,0.0877203383333333,OXY3 (PSt7-10),2018-06-27 09:55:59,default,121.638210444317,μmol/L,37.6819448261804,°C,1000,hPa,Humid,36,1,0,22.421,127966.843439282,277460.938573582,60.7217402270804,36,0
2891708,2018-11-28 10:57:29,0.104594705,OXY3 (PSt7-10),2018-06-27 09:55:59,default,121.659307463995,μmol/L,37.6819448261804,°C,1000,hPa,Humid,36,1,0,22.419,127949.580309423,277441.704588031,60.7217402270804,36,0
2891718,2018-11-28 10:57:30,0.121435833333333,OXY3 (PSt7-10),2018-06-27 09:55:59,default,121.679143958815,μmol/L,37.675760036087,°C,1000,hPa,Humid,36,1,0,22.42,127909.990761165,277421.232142232,60.7217402270804,36,0
2891728,2018-11-28 10:57:31,0.138321095,OXY3 (PSt7-10),2018-06-27 09:55:59,default,121.597282398448,μmol/L,37.6881296277047,°C,1000,hPa,Humid,36,1,0,22.422,127910.133317931,277393.210927341,60.7217402270804,36,0
2891735,2018-11-28 10:57:32,0.1543763,OXY3 (PSt7-10),2018-06-27 09:55:59,default,121.656773905025,μmol/L,37.6695752574251,°C,1000,hPa,Humid,36,1,0,22.425,127896.653749564,277385.791811963,60.7217402270804,36,0
2891746,2018-11-28 10:57:33,0.171241888333333,OXY3 (PSt7-10),2018-06-27 09:55:59,default,121.606573291519,μmol/L,37.6819448261804,°C,1000,hPa,Humid,36,1,0,22.424,127881.066858109,277389.578327205,60.7217402270804,36,0
2891757,2018-11-28 10:57:34,0.188052753333333,OXY3 (PSt7-10),2018-06-27 09:55:59,default,121.66859339189,μmol/L,37.675760036087,°C,1000,hPa,Humid,36,1,0,22.421,127876.066044814,277384.442260057,60.7217402270804,36,0
2891765,2018-11-28 10:57:35,0.204896393333333,OXY3 (PSt7-10),2018-06-27 09:55:59,default,121.635679828542,μmol/L,37.6695752574251,°C,1000,hPa,Humid,36,1,0,22.427,127876.975790442,277364.064814867,60.7217402270804,36,0
2891772,2018-11-28 10:57:36,0.221783441666667,OXY3 (PSt7-10),2018-06-27 09:55:59,default,121.647495609555,μmol/L,37.675760036087,°C,1000,hPa,Humid,36,1,0,22.423,127861.792303125,277355.317979123,60.7217402270804,36,0
2891784,2018-11-28 10:57:37,0.237744836666667,OXY3 (PSt7-10),2018-06-27 09:55:59,default,121.605313446428,μmol/L,37.675760036087,°C,1000,hPa,Humid,36,1,0,22.427,127852.498368156,277354.412421027,60.7217402270804,36,0
2891794,2018-11-28 10:57:38,0.254578715,OXY3 (PSt7-10),2018-06-27 09:55:59,default,121.625134465181,μmol/L,37.6695752574251,°C,1000,hPa,Humid,36,1,0,22.428,127840.57056673,277330.628151452,60.7217402270804,36,0
2891803,2018-11-28 10:57:39,0.271422348333333,OXY3 (PSt7-10),2018-06-27 09:55:59,default,121.605313446428,μmol/L,37.675760036087,°C,1000,hPa,Humid,36,1,0,22.427,127831.80778222,277329.670094512,60.7217402270804,36,0
2891812,2018-11-28 10:57:40,0.288286351666667,OXY3 (PSt7-10),2018-06-27 09:55:59,default,121.614590218193,μmol/L,37.6695752574251,°C,1000,hPa,Humid,36,1,0,22.429,127829.772733694,277319.485949605,60.7217402270804,36,0
2891821,2018-11-28 10:57:41,0.305125018333333,OXY3 (PSt7-10),2018-06-27 09:55:59,default,121.666045334757,μmol/L,37.6633904901951,°C,1000,hPa,Humid,36,1,0,22.427,127816.081799303,277312.113323493,60.7217402270804,36,0
2891830,2018-11-28 10:57:42,0.321137985,OXY3 (PSt7-10),2018-06-27 09:55:59,default,121.594770696693,μmol/L,37.675760036087,°C,1000,hPa,Humid,36,1,0,22.428,127808.594274147,277305.569335444,60.7217402270804,36,0
2891839,2018-11-28 10:57:43,0.338012063333333,OXY3 (PSt7-10),2018-06-27 09:55:59,default,121.613316615108,μmol/L,37.6633904901951,°C,1000,hPa,Humid,36,1,0,22.432,127810.182350346,277299.117909645,60.7217402270804,36,0
2891848,2018-11-28 10:57:44,0.354874423333333,OXY3 (PSt7-10),2018-06-27 09:55:59,default,121.602774219833,μmol/L,37.6633904901951,°C,1000,hPa,Humid,36,1,0,22.433,127802.341007387,277293.588965286,60.7217402270804,36,0
2891856,2018-11-28 10:57:45,0.371749358333333,OXY3 (PSt7-10),2018-06-27 09:55:59,default,121.623860126387,μmol/L,37.6633904901951,°C,1000,hPa,Humid,36,1,0,22.431,127796.06230436,277296.019180822,60.7217402270804,36,0
2891859,2018-11-28 10:57:46,0.387738833333333,OXY3 (PSt7-10),2018-06-27 09:55:59,default,121.592232940399,μmol/L,37.6633904901951,°C,1000,hPa,Humid,36,1,0,22.434,127793.542417735,277270.326136925,60.7217402270804,36,0
2891867,2018-11-28 10:57:47,0.404619273333333,OXY3 (PSt7-10),2018-06-27 09:55:59,default,121.581692776647,μmol/L,37.6633904901951,°C,1000,hPa,Humid,36,1,0,22.435,127789.673683756,277267.982042944,60.7217402270804,36,0
2891877,2018-11-28 10:57:48,0.421509525,OXY3 (PSt7-10),2018-06-27 09:55:59,default,121.622579283806,μmol/L,37.657205734396,°C,1000,hPa,Humid,36,1,0,22.434,127787.253641548,277272.72352218,60.7217402270804,36,0
2891893,2018-11-28 10:57:49,0.438427755,OXY3 (PSt7-10),2018-06-27 09:55:59,default,121.601494849038,μmol/L,37.657205734396,°C,1000,hPa,Humid,36,1,0,22.436,127784.772959893,277264.444774622,60.7217402270804,36,0
2891901,2018-11-28 10:57:50,0.454413561666667,OXY3 (PSt7-10),2018-06-27 09:55:59,default,121.6436681824,μmol/L,37.657205734396,°C,1000,hPa,Humid,36,1,0,22.432,127767.530578238,277257.97106128,60.7217402270804,36,0
