Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
2891664,2018-11-28 10:57:24,0,OXY5 (PSt7-10),2018-06-27 09:56:23,default,104.307101590863,μmol/L,37.2526492318007,°C,1000,hPa,Humid,37,0,0,24.336,130746.769830099,418264.201271905,28.35,51.6,0
2891676,2018-11-28 10:57:25,0.02280556,OXY5 (PSt7-10),2018-06-27 09:56:23,default,104.307101590863,μmol/L,37.2526492318007,°C,1000,hPa,Humid,37,0,0,24.336,130717.441177181,418208.167664336,28.35,51.6,0
2891684,2018-11-28 10:57:26,0.0398547933333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,104.289594206843,μmol/L,37.2526492318007,°C,1000,hPa,Humid,37,0,0,24.338,130691.08930758,418169.175835537,28.35,51.6,0
2891690,2018-11-28 10:57:27,0.056747265,OXY5 (PSt7-10),2018-06-27 09:56:23,default,104.254589785271,μmol/L,37.2526492318007,°C,1000,hPa,Humid,37,0,0,24.342,130678.955541642,418113.758421306,28.35,51.6,0
2891702,2018-11-28 10:57:28,0.0727842216666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,104.263339597647,μmol/L,37.2526492318007,°C,1000,hPa,Humid,37,0,0,24.341,130675.513725982,418090.5388468,28.35,51.6,0
2891710,2018-11-28 10:57:29,0.0896585883333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,104.262929322985,μmol/L,37.2464860070063,°C,1000,hPa,Humid,37,0,0,24.344,130682.02142326,418080.772286402,28.35,51.6,0
2891719,2018-11-28 10:57:30,0.106499716666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,104.289182629717,μmol/L,37.2464860070063,°C,1000,hPa,Humid,37,0,0,24.341,130658.818161068,418071.472020479,28.35,51.6,0
2891725,2018-11-28 10:57:31,0.1233351,OXY5 (PSt7-10),2018-06-27 09:56:23,default,104.228345518575,μmol/L,37.2526492318007,°C,1000,hPa,Humid,37,0,0,24.345,130675.699346663,418058.748652917,28.35,51.6,0
2891738,2018-11-28 10:57:32,0.140179908333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,104.236683772405,μmol/L,37.2464860070063,°C,1000,hPa,Humid,37,0,0,24.347,130656.534793217,418044.48187664,28.35,51.6,0
2891743,2018-11-28 10:57:33,0.156241628333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,104.201701764649,μmol/L,37.2464860070063,°C,1000,hPa,Humid,37,0,0,24.351,130663.52625808,418037.700423203,28.35,51.6,0
2891755,2018-11-28 10:57:34,0.173083398333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,104.210853648306,μmol/L,37.2526492318007,°C,1000,hPa,Humid,37,0,0,24.347,130668.246326648,418048.976240658,28.35,51.6,0
2891762,2018-11-28 10:57:35,0.189960276666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,104.219191046104,μmol/L,37.2464860070063,°C,1000,hPa,Humid,37,0,0,24.349,130675.225357855,418042.362648492,28.35,51.6,0
2891769,2018-11-28 10:57:36,0.206847325,OXY5 (PSt7-10),2018-06-27 09:56:23,default,104.15839870338,μmol/L,37.2526492318007,°C,1000,hPa,Humid,37,0,0,24.353,130670.85125144,418042.279091261,28.35,51.6,0
2891781,2018-11-28 10:57:37,0.22280872,OXY5 (PSt7-10),2018-06-27 09:56:23,default,104.201701764649,μmol/L,37.2464860070063,°C,1000,hPa,Humid,37,0,0,24.351,130672.153717558,418037.408183502,28.35,51.6,0
2891791,2018-11-28 10:57:38,0.239642598333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,104.20128861022,μmol/L,37.240322793562,°C,1000,hPa,Humid,37,0,0,24.354,130666.706024449,418043.999262434,28.35,51.6,0
2891800,2018-11-28 10:57:39,0.256486231666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,104.20128861022,μmol/L,37.240322793562,°C,1000,hPa,Humid,37,0,0,24.354,130651.607581633,418029.122336452,28.35,51.6,0
2891809,2018-11-28 10:57:40,0.273350235,OXY5 (PSt7-10),2018-06-27 09:56:23,default,104.175474299517,μmol/L,37.2464860070063,°C,1000,hPa,Humid,37,0,0,24.354,130673.071353035,418026.163755775,28.35,51.6,0
