Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
2891660,2018-11-28 10:57:22,0,OXY1 (PSt7-10),2018-06-27 09:55:33,default,119.093392157676,μmol/L,37.5580520910694,°C,1000,hPa,Humid,36,1,0,22.808,106284.5602243,251722.640395616,57.0300653503942,20.1,0
2891662,2018-11-28 10:57:23,0,OXY1 (PSt7-10),2018-06-27 09:55:33,default,119.109092551241,μmol/L,37.5457934473525,°C,1001,hPa,Humid,36,1,0,22.813,106253.929303039,251670.296722603,57.0300653503942,20.1,0
2891667,2018-11-28 10:57:24,0.0385913233333333,OXY1 (PSt7-10),2018-06-27 09:55:33,default,119.020321788393,μmol/L,37.5519227635978,°C,1000,hPa,Humid,36,1,0,22.818,106239.226349606,251638.575228903,57.0300653503942,20.1,0
2891671,2018-11-28 10:57:25,0.0548695333333333,OXY1 (PSt7-10),2018-06-27 09:55:33,default,119.080361584261,μmol/L,37.5457934473525,°C,1000,hPa,Humid,36,1,0,22.815,106238.251691227,251600.911065373,57.0300653503942,20.1,0
2891685,2018-11-28 10:57:26,0.0719187666666667,OXY1 (PSt7-10),2018-06-27 09:55:33,default,119.008694556044,μmol/L,37.5457934473525,°C,1000,hPa,Humid,36,1,0,22.822,106243.585537616,251576.758590164,57.0300653503942,20.1,0
2891689,2018-11-28 10:57:27,0.0888112383333333,OXY1 (PSt7-10),2018-06-27 09:55:33,default,119.020321788393,μmol/L,37.5519227635978,°C,1000,hPa,Humid,36,1,0,22.818,106231.263773083,251536.397334024,57.0300653503942,20.1,0
2891703,2018-11-28 10:57:28,0.104848195,OXY1 (PSt7-10),2018-06-27 09:55:33,default,118.998460677887,μmol/L,37.5457934473525,°C,1000,hPa,Humid,36,1,0,22.823,106243.54148252,251521.87762859,57.0300653503942,20.1,0
2891706,2018-11-28 10:57:29,0.121722561666667,OXY1 (PSt7-10),2018-06-27 09:55:33,default,118.977996121604,μmol/L,37.5457934473525,°C,1000,hPa,Humid,36,1,0,22.825,106230.79081144,251505.374106658,57.0300653503942,20.1,0
2891720,2018-11-28 10:57:30,0.13856369,OXY1 (PSt7-10),2018-06-27 09:55:33,default,118.91801335154,μmol/L,37.5519227635978,°C,1000,hPa,Humid,36,1,0,22.828,106198.895773806,251506.023264774,57.0300653503942,20.1,0
2891731,2018-11-28 10:57:31,0.155448951666667,OXY1 (PSt7-10),2018-06-27 09:55:33,default,118.947307284977,μmol/L,37.5457934473525,°C,1000,hPa,Humid,36,1,0,22.828,106208.420214312,251475.576510419,57.0300653503942,20.1,0
2891739,2018-11-28 10:57:32,0.171504156666667,OXY1 (PSt7-10),2018-06-27 09:55:33,default,118.905798375636,μmol/L,37.5519227635978,°C,1001,hPa,Humid,36,1,0,22.83,106220.693262165,251470.771400836,57.0300653503942,20.1,0
2891744,2018-11-28 10:57:33,0.188369745,OXY1 (PSt7-10),2018-06-27 09:55:33,default,118.976600424854,μmol/L,37.5396641423354,°C,1000,hPa,Humid,36,1,0,22.828,106207.932237181,251460.820990927,57.0300653503942,20.1,0
2891756,2018-11-28 10:57:34,0.20518061,OXY1 (PSt7-10),2018-06-27 09:55:33,default,118.897564457531,μmol/L,37.5519227635978,°C,1000,hPa,Humid,36,1,0,22.83,106216.671945897,251443.947310792,57.0300653503942,20.1,0
2891763,2018-11-28 10:57:35,0.22202425,OXY1 (PSt7-10),2018-06-27 09:55:33,default,118.905012945189,μmol/L,37.5396641423354,°C,1000,hPa,Humid,36,1,0,22.835,106224.002035164,251432.025685988,57.0300653503942,20.1,0
2891770,2018-11-28 10:57:36,0.238928521666667,OXY1 (PSt7-10),2018-06-27 09:55:33,default,118.885958388777,μmol/L,37.5457934473525,°C,1000,hPa,Humid,36,1,0,22.834,106225.950572303,251430.718327938,57.0300653503942,20.1,0
