"","K","lwr_CI","upr_CI",".fitted","genotype","treatment","rate.type"
"1",292.4828224,0.948924353714596,1.15258347513169,1.0731056915208,"ML2","deep","GP"
"2",292.552991261727,0.951574379129534,1.15355454812008,1.07466243325869,"ML2","deep","GP"
"3",292.623160123454,0.954222312673946,1.15452484410756,1.07621813878712,"ML2","deep","GP"
"4",292.693328985181,0.956868125531163,1.15549435109469,1.07777279663444,"ML2","deep","GP"
"5",292.763497846908,0.959511787806463,1.1564630565921,1.07932639483109,"ML2","deep","GP"
"6",292.833666708634,0.962153268488624,1.15743094760129,1.08087892088933,"ML2","deep","GP"
"7",292.903835570361,0.964792535410124,1.15839801059466,1.0824303617821,"ML2","deep","GP"
"8",292.974004432088,0.967429555205911,1.15936423149472,1.08398070392101,"ML2","deep","GP"
"9",293.044173293815,0.970064293270782,1.16032959565258,1.08552993313349,"ML2","deep","GP"
"10",293.114342155542,0.972696713715232,1.16132865202337,1.087078034639,"ML2","deep","GP"
"11",293.184511017269,0.97532677931977,1.1624184119944,1.08862499302423,"ML2","deep","GP"
"12",293.254679878996,0.977954451487641,1.16350710492225,1.09017079221745,"ML2","deep","GP"
"13",293.324848740723,0.980579690195904,1.16459470983108,1.09171541546164,"ML2","deep","GP"
"14",293.39501760245,0.98320245394479,1.16568120491045,1.09325884528674,"ML2","deep","GP"
"15",293.465186464177,0.985822699705301,1.16676656748315,1.09480106348059,"ML2","deep","GP"
"16",293.535355325904,0.988440382865004,1.16785077397192,1.09634205105889,"ML2","deep","GP"
"17",293.605524187631,0.991055457171902,1.16893379986485,1.09788178823383,"ML2","deep","GP"
"18",293.675693049357,0.993667874676397,1.17001561967953,1.09942025438153,"ML2","deep","GP"
"19",293.745861911084,0.996277585671213,1.17109620692573,1.10095742800814,"ML2","deep","GP"
"20",293.816030772811,0.998884538629242,1.17217553406683,1.10249328671466,"ML2","deep","GP"
"21",293.886199634538,1.00148868013925,1.17325357247968,1.10402780716023,"ML2","deep","GP"
"22",293.956368496265,1.00408995483934,1.174330292413,1.1055609650241,"ML2","deep","GP"
"23",294.026537357992,1.00668830534815,1.17540566294417,1.10709273496599,"ML2","deep","GP"
"24",294.096706219719,1.00928367219362,1.1764796519345,1.10862309058489,"ML2","deep","GP"
"25",294.166875081446,1.01187599373939,1.17755222598267,1.11015200437626,"ML2","deep","GP"
"26",294.237043943173,1.01446520610855,1.17862335037653,1.11167944768749,"ML2","deep","GP"
"27",294.3072128049,1.01705124310492,1.17969298904312,1.1132053906716,"ML2","deep","GP"
"28",294.377381666626,1.01963403613147,1.18076110449666,1.11472980223911,"ML2","deep","GP"
"29",294.447550528353,1.02221351410605,1.18182765778479,1.11625265000803,"ML2","deep","GP"
"30",294.51771939008,1.02478960337421,1.18289260843268,1.1177739002518,"ML2","deep","GP"
"31",294.587888251807,1.02736222761903,1.18395591438505,1.11929351784523,"ML2","deep","GP"
"32",294.658057113534,1.02993130776785,1.18501753194613,1.12081146620831,"ML2","deep","GP"
"33",294.728225975261,1.03249676189591,1.18607741571724,1.12232770724773,"ML2","deep","GP"
"34",294.798394836988,1.03505850512658,1.18713551853217,1.12384220129618,"ML2","deep","GP"
"35",294.868563698715,1.03761644952832,1.18819179139011,1.12535490704921,"ML2","deep","GP"
"36",294.938732560442,1.04017050400809,1.18924618338605,1.12686578149959,"ML2","deep","GP"
"37",295.008901422169,1.04258183534966,1.19029864163867,1.12837477986915,"ML2","deep","GP"
"38",295.079070283896,1.04496594009346,1.19134911121552,1.12988185553785,"ML2","deep","GP"
"39",295.149239145622,1.0473462662837,1.1923975350554,1.13138695997017,"ML2","deep","GP"
"40",295.219408007349,1.04972272192223,1.19344385388798,1.13289004263852,"ML2","deep","GP"
"41",295.289576869076,1.05209521176039,1.19448800615029,1.13439105094371,"ML2","deep","GP"
"42",295.359745730803,1.05446363718742,1.1955299279003,1.13588993013228,"ML2","deep","GP"
"43",295.42991459253,1.05682789611524,1.19656955272718,1.13738662321061,"ML2","deep","GP"
"44",295.500083454257,1.05918788285929,1.19760681165835,1.13888107085565,"ML2","deep","GP"
"45",295.570252315984,1.06154348801551,1.19864163306308,1.14037321132225,"ML2","deep","GP"
"46",295.640421177711,1.06389459833315,1.19967394255254,1.14186298034675,"ML2","deep","GP"
"47",295.710590039438,1.06624109658347,1.20070366287622,1.14335031104693,"ML2","deep","GP"
"48",295.780758901165,1.06858286142401,1.20173071381458,1.14483513381803,"ML2","deep","GP"
"49",295.850927762892,1.07091976725843,1.2027550120677,1.14631737622472,"ML2","deep","GP"
"50",295.921096624618,1.07325168409173,1.20377647113996,1.14779696288892,"ML2","deep","GP"
"51",295.991265486345,1.07557847738071,1.20479500122049,1.14927381537325,"ML2","deep","GP"
