"","term","estimate","std.error","statistic","p.value","genotype","species","treatment","rate.type","fragment.ID2"
"1","lnc",0.526145684773076,0.0807543299872248,6.51538666541238,0.00734502724894032,"SF3","OFRA","shallow","R","SF"
"2","E",0.0871268771706532,0.119721064940187,0.72774893218818,0.519422517851724,"SF3","OFRA","shallow","R","SF"
"3","Eh",8.75088654547679,49.518998771054,0.176717760105281,0.870987018010958,"SF3","OFRA","shallow","R","SF"
"4","Th",311.078079018601,7.81870926032328,39.7863724895353,3.49366219395548e-05,"SF3","OFRA","shallow","R","SF"
"5","lnc",0.501427095907497,0.0351881295382786,14.2498934296019,0.000748840796593956,"SF2","OFRA","shallow","R","SF"
"6","E",0.0877179257125777,0.0573932668322462,1.52836614038659,0.22388429380746,"SF2","OFRA","shallow","R","SF"
"7","Eh",56.7014686202277,206704757.650613,2.7431138627234e-07,0.999999798352275,"SF2","OFRA","shallow","R","SF"
"8","Th",310.501491473515,1487329.37988629,0.000208764444293606,0.999846536174185,"SF2","OFRA","shallow","R","SF"
"9","lnc",0.521963479283399,0.0268568434499368,19.4350270632652,0.000297571623797683,"SF1","OFRA","shallow","R","SF"
"10","E",0.141015318879043,0.0500320868637635,2.81849764258336,0.0668213027381495,"SF1","OFRA","shallow","R","SF"
"11","Eh",91.4825253967848,277650634.609841,3.29487903117302e-07,0.999999757791731,"SF1","OFRA","shallow","R","SF"
"12","Th",309.222836603218,835233.966079235,0.000370223014342646,0.999727847147546,"SF1","OFRA","shallow","R","SF"
"13","lnc",2.35092234855796,4.48837858115562,0.523779869734758,0.628111447846552,"MF3","OFRA","deep","R","MF"
"14","E",1.16066319899455,2.6377766437896,0.440015723744928,0.682656457531906,"MF3","OFRA","deep","R","MF"
"15","Eh",1.319594567057,2.07835123432726,0.634923753628265,0.559980646328515,"MF3","OFRA","deep","R","MF"
"16","Th",291.313167060766,17.2002961997691,16.9365203760082,7.12570374778429e-05,"MF3","OFRA","deep","R","MF"
"17","lnc",0.501978560360537,0.042418667723533,11.8339067985874,0.000291905228010622,"MF2","OFRA","deep","R","MF"
"18","E",0.115862733886606,0.0675753469141555,1.71457105553292,0.161573596237404,"MF2","OFRA","deep","R","MF"
"19","Eh",56.2165784854247,181106184.812948,3.10406729309034e-07,0.999999767194953,"MF2","OFRA","deep","R","MF"
"20","Th",310.618709748927,989248.942751628,0.000313994482404935,0.999764504143033,"MF2","OFRA","deep","R","MF"
"21","lnc",1.25232351985459,1.33461434292723,0.938341121906314,0.447123652241177,"MF1","OFRA","deep","R","MF"
"22","E",0.150302197991544,0.0530714645382145,2.83207179789279,0.105342655609421,"MF1","OFRA","deep","R","MF"
"23","Eh",1.62986200072067e-08,0.114507801971483,1.42336327539198e-07,0.999999899353018,"MF1","OFRA","deep","R","MF"
"24","Th",416.986448846607,2610436230.01628,1.59738224612369e-07,0.999999887048018,"MF1","OFRA","deep","R","MF"
"25","lnc",1.1355148052565,0.171659513004206,6.61492500697402,0.0220986434351369,"SF3","OFRA","shallow","GP","SF"
"26","E",0.0414006376388035,0.251887766233051,0.164361446599589,0.884555962436388,"SF3","OFRA","shallow","GP","SF"
"27","Eh",106.207976577142,2853381013.3626,3.72217997105057e-08,0.999999973680213,"SF3","OFRA","shallow","GP","SF"
"28","Th",307.338473590413,330909.00331946,0.000928770358338388,0.999343260323082,"SF3","OFRA","shallow","GP","SF"
"29","lnc",1.31009188553188,0.369492521608973,3.54565196563931,0.0238917128948276,"SF2","OFRA","shallow","GP","SF"
"30","E",0.389873277948649,0.506687913292673,0.769454466389552,0.484542655277807,"SF2","OFRA","shallow","GP","SF"
"31","Eh",3.49353708172466,1.89200747056939,1.8464710822063,0.138554981642355,"SF2","OFRA","shallow","GP","SF"
"32","Th",306.264842615037,4.02523093694037,76.0862786292288,1.78824045454819e-07,"SF2","OFRA","shallow","GP","SF"
"33","lnc",1.72829977810371,0.356589456767509,4.84674951909903,0.0167597342428732,"SF1","OFRA","shallow","GP","SF"
"34","E",0.936432590237898,0.343554807432951,2.72571528611386,0.0722007331407754,"SF1","OFRA","shallow","GP","SF"
"35","Eh",2.61799561617292,0.216168487749,12.1109031359499,0.00121166669416751,"SF1","OFRA","shallow","GP","SF"
"36","Th",300.98321885428,2.42027458491648,124.359120543617,1.14640146804649e-06,"SF1","OFRA","shallow","GP","SF"
"37","lnc",1.46847185748803,0.364565829759851,4.02800190696795,0.0157596088842271,"MF3","OFRA","deep","GP","MF"
"38","E",0.470736654239667,0.446149356938974,1.05511001398587,0.350887753130322,"MF3","OFRA","deep","GP","MF"
"39","Eh",3.00151147822793,0.879144336957155,3.41412820631546,0.0269250120194283,"MF3","OFRA","deep","GP","MF"
"40","Th",304.562049495231,3.56639919346153,85.3976330113579,1.12712221901827e-07,"MF3","OFRA","deep","GP","MF"
"41","lnc",1.31917125273714,0.191697937490406,6.88150989002252,0.00233680343736707,"MF2","OFRA","deep","GP","MF"
"42","E",0.420910684420791,0.219751124912375,1.91539717755087,0.127947863844087,"MF2","OFRA","deep","GP","MF"
"43","Eh",2.65619945887845,0.44349806737214,5.98920187999291,0.0039082510702365,"MF2","OFRA","deep","GP","MF"
"44","Th",305.239528165987,2.18687997963314,139.577631607013,1.58029931243032e-08,"MF2","OFRA","deep","GP","MF"
"45","lnc",1.21817466942641,0.0523055579856583,23.2895836759915,0.00183855890840743,"MF1","OFRA","deep","GP","MF"
"46","E",0.222795734666513,0.0714865563432367,3.11661025601482,0.0893665202322461,"MF1","OFRA","deep","GP","MF"
"47","Eh",5.16699607925047,1.08907071803536,4.7444082314246,0.0416688011302187,"MF1","OFRA","deep","GP","MF"
"48","Th",306.953895885474,0.395159205339327,776.785386087335,1.65728357992183e-06,"MF1","OFRA","deep","GP","MF"
"49","lnc",46.3442204069554,995085.088959145,4.65731231642023e-05,0.999967067828807,"SA3","PAST","shallow","R","SA"
"50","E",44.6926822412798,1020895.47918701,4.37779215918078e-05,0.999969044334791,"SA3","PAST","shallow","R","SA"
"51","Eh",44.6612365721124,1020895.45179383,4.3747120719989e-05,0.999969066114296,"SA3","PAST","shallow","R","SA"
"52","Th",292.368616037922,9088.89761566959,0.0321676652550105,0.977259907629589,"SA3","PAST","shallow","R","SA"
"53","lnc",9.25898374576686,13.9050835272549,0.665870415493632,0.553118471838389,"SA2","PAST","shallow","R","SA"
"54","E",6.62704863513022,13.3074048580189,0.497997070490934,0.652703296034668,"SA2","PAST","shallow","R","SA"
"55","Eh",6.6125977240842,13.272036750146,0.498235338597256,0.652553881155497,"SA2","PAST","shallow","R","SA"
"56","Th",290.073625544273,4.34555470041269,66.7518062807322,7.40851064801011e-06,"SA2","PAST","shallow","R","SA"
"57","lnc",5.91446738029764,10.3070684284178,0.573826342705825,0.596808330728658,"SA1","PAST","shallow","R","SA"
"58","E",3.26289521387732,9.05192753451647,0.360464133350093,0.736728919440337,"SA1","PAST","shallow","R","SA"
"59","Eh",3.2304734068853,8.96673705766787,0.360273016383677,0.736861253218519,"SA1","PAST","shallow","R","SA"
"60","Th",287.764843887966,10.4552927022295,27.5233656372532,1.03641272146269e-05,"SA1","PAST","shallow","R","SA"
"61","lnc",1.13304691781226,20.5425967846895,0.0551559732047473,0.959481942984073,"MA3","PAST","deep","R","MA"
"62","E",0.0948460066952688,0.541568605517118,0.175132025248592,0.872129015362419,"MA3","PAST","deep","R","MA"
"63","Eh",1.2946646742045e-07,1.09189271352582,1.18570685394896e-07,0.999999912838073,"MA3","PAST","deep","R","MA"
"64","Th",14943.988318361,69734307027.1061,2.14298943453359e-07,0.999999842467734,"MA3","PAST","deep","R","MA"
"65","lnc",0.368420115697803,0.0409332669505917,9.00050602221667,0.000843650222355706,"MA2","PAST","deep","R","MA"
"66","E",0.106480193003555,0.0674139702842095,1.57949743287106,0.189369737681392,"MA2","PAST","deep","R","MA"
"67","Eh",5.21267487273828,7.5612174201104,0.689396241784325,0.52848213523925,"MA2","PAST","deep","R","MA"
"68","Th",312.417417044971,2.4334784842513,128.383061147586,2.2077236092461e-08,"MA2","PAST","deep","R","MA"
"69","lnc",5.29291648033022,45.0865589936246,0.117394553908597,0.912205965740723,"MA1","PAST","deep","R","MA"
"70","E",1.62680075719926,28.3380492523994,0.0574069422602023,0.956974328356811,"MA1","PAST","deep","R","MA"
"71","Eh",1.52126632372936,28.082832162119,0.0541706874487323,0.959396803092649,"MA1","PAST","deep","R","MA"
"72","Th",277.386094646021,192.571355800989,1.44043278654943,0.223173013256925,"MA1","PAST","deep","R","MA"
"73","lnc",2.37424840892156,0.225829580524049,10.5134517958719,0.00892614645572121,"SA3","PAST","shallow","GP","SA"
"74","E",1.32790955774815,0.184956198800229,7.17958936419547,0.0188530749510839,"SA3","PAST","shallow","GP","SA"
"75","Eh",2.28867737554722,0.120980731273062,18.9177016163136,0.00278257975426958,"SA3","PAST","shallow","GP","SA"
"76","Th",296.14801191923,0.841896717246359,351.762877622161,8.08155112173614e-06,"SA3","PAST","shallow","GP","SA"
"77","lnc",1.19813941167363,0.373136438122415,3.21099546777729,0.032558065428189,"SA2","PAST","shallow","GP","SA"
"78","E",0.400283568502218,0.37758659190971,1.06011065297026,0.348863001275741,"SA2","PAST","shallow","GP","SA"
"79","Eh",2.24812306369692,0.623891059100424,3.60339041713219,0.0226895718608378,"SA2","PAST","shallow","GP","SA"
"80","Th",305.057578604326,4.62598668861909,65.9443269378255,3.16793303222478e-07,"SA2","PAST","shallow","GP","SA"
"81","lnc",4.34339455002194,3.43922121720456,1.26290060328027,0.29585822850278,"SA1","PAST","shallow","GP","SA"
"82","E",2.4809401946599,2.94250559498955,0.843138649892256,0.461066337140687,"SA1","PAST","shallow","GP","SA"
"83","Eh",2.85453292901221,2.72183701708463,1.04875233568162,0.37133055469131,"SA1","PAST","shallow","GP","SA"
"84","Th",291.677727488307,2.00425533930937,145.529225626918,7.15395614502485e-07,"SA1","PAST","shallow","GP","SA"
"85","lnc",1.09557159185876,0.562259298420102,1.94851662735897,0.19069343154268,"MA3","PAST","deep","GP","MA"
"86","E",0.133553120928892,0.643525775509359,0.207533444675442,0.854806739710842,"MA3","PAST","deep","GP","MA"
"87","Eh",3.00756333533468,4.69815222614302,0.640158766801764,0.587620654671723,"MA3","PAST","deep","GP","MA"
"88","Th",307.084158203162,6.09632246985717,50.372033258004,0.000393880416091442,"MA3","PAST","deep","GP","MA"
"89","lnc",0.820496521735682,0.110342019200596,7.43593898027242,0.00503368770492726,"MA2","PAST","deep","GP","MA"
"90","E",0.132088880940029,0.18258641582873,0.723432136725502,0.521719037588309,"MA2","PAST","deep","GP","MA"
"91","Eh",73.6572075590573,705294674.426856,1.04434657214608e-07,0.999999923229541,"MA2","PAST","deep","GP","MA"
"92","Th",307.545447483369,319623.878749984,0.000962210485293361,0.999292674220168,"MA2","PAST","deep","GP","MA"
"93","lnc",1.14429171416514,0.0503923356149713,22.7076538564959,2.22775778840645e-05,"MA1","PAST","deep","GP","MA"
"94","E",0.225481252850721,0.0792277215759601,2.84598936288404,0.0465843702701144,"MA1","PAST","deep","GP","MA"
"95","Eh",5.09786873754042,0.930185993551258,5.48048322903446,0.00539689511070518,"MA1","PAST","deep","GP","MA"
"96","Th",307.903198652693,0.491610422939036,626.315440612364,3.89916304197576e-11,"MA1","PAST","deep","GP","MA"
"97","lnc",0.397160632496507,0.401783838541931,0.988493300123266,0.378869546102242,"SC3","MCAV","shallow","R","SC"
"98","E",0.157184095313736,0.316130505311933,0.497212678538057,0.645127929180605,"SC3","MCAV","shallow","R","SC"
"99","Eh",1.58988563586089,4.41758127331957,0.359899577957549,0.737119862398699,"SC3","MCAV","shallow","R","SC"
"100","Th",315.762301483367,5.70357041171209,55.3622167677565,6.37313789351143e-07,"SC3","MCAV","shallow","R","SC"
"101","lnc",8.5889883212317,15.8985298953927,0.540237894808171,0.626560847538856,"SC2","MCAV","shallow","R","SC"
"102","E",6.52268284793443,15.2917772995138,0.426548380883222,0.698465565715916,"SC2","MCAV","shallow","R","SC"
"103","Eh",6.4296982210148,15.2309285952397,0.422147486334112,0.701344680590345,"SC2","MCAV","shallow","R","SC"
"104","Th",290.575326677046,4.02060199760452,72.2715968529518,5.83805986766939e-06,"SC2","MCAV","shallow","R","SC"
"105","lnc",37.7124696915155,143002.586618477,0.000263718794067202,0.999802210907315,"SC1","MCAV","shallow","R","SC"
"106","E",33.4286617112173,142719.333493192,0.000234226582292804,0.999824330065288,"SC1","MCAV","shallow","R","SC"
"107","Eh",33.3548411534937,142719.296356041,0.000233709400236137,0.999824717951817,"SC1","MCAV","shallow","R","SC"
"108","Th",291.691603288338,3727.85684606704,0.078246460455175,0.941389888401246,"SC1","MCAV","shallow","R","SC"
"109","lnc",9.90868189123898,387.807523818131,0.0255505148370609,0.980839719693177,"MC3","MCAV","deep","R","MC"
"110","E",3.86175416353475,350.333840212129,0.0110230691993569,0.99173290737376,"MC3","MCAV","deep","R","MC"
"111","Eh",3.7663088564624,350.266047992453,0.0107527089138356,0.991935662564393,"MC3","MCAV","deep","R","MC"
"112","Th",281.739541315691,906.802661814135,0.3106955384891,0.771548837743821,"MC3","MCAV","deep","R","MC"
"113","lnc",0.378809027069068,0.0428103222245315,8.84854416844357,0.00304255800203482,"MC2","MCAV","deep","R","MC"
"114","E",0.127133197080791,0.0645040046286277,1.97093494912047,0.143316262834703,"MC2","MCAV","deep","R","MC"
"115","Eh",89.7224520994525,827009118.755845,1.084902815031e-07,0.999999920248231,"MC2","MCAV","deep","R","MC"
"116","Th",309.47616247514,3348909.21347328,9.24110337867804e-05,0.999932068169219,"MC2","MCAV","deep","R","MC"
"117","lnc",0.37466907068168,0.0538124515201589,6.962497713774,0.00223669301261875,"MC1","MCAV","deep","R","MC"
"118","E",0.0411030838513482,0.0861659267474725,0.47702247747894,0.65823868652453,"MC1","MCAV","deep","R","MC"
"119","Eh",28.6633268397884,61458.3001304071,0.000466386586986107,0.999650210075612,"MC1","MCAV","deep","R","MC"
"120","Th",310.675703082431,1275.57469438489,0.243557436855742,0.819554801237367,"MC1","MCAV","deep","R","MC"
"121","lnc",0.973414990188551,0.121519768904655,8.01034267068347,0.00131740680425601,"SC3","MCAV","shallow","GP","SC"
"122","E",0.310398641468369,0.161894218918725,1.91729293078832,0.127668822781287,"SC3","MCAV","shallow","GP","SC"
"123","Eh",3.30076324535374,0.862870959340429,3.82532661416351,0.0186927598170119,"SC3","MCAV","shallow","GP","SC"
"124","Th",307.003376560486,1.46136524900057,210.079839225988,3.07998176038523e-09,"SC3","MCAV","shallow","GP","SC"
"125","lnc",0.845592296850486,0.124410854960174,6.79677265397116,0.00651198013038646,"SC2","MCAV","shallow","GP","SC"
"126","E",0.085673138668827,0.179492536949972,0.477307525564172,0.66576008158677,"SC2","MCAV","shallow","GP","SC"
"127","Eh",6.31793503167712,5.234489722574,1.20698203005934,0.313927750369866,"SC2","MCAV","shallow","GP","SC"
"128","Th",309.398138011441,1.07424115700415,288.01553170267,9.23005254718912e-08,"SC2","MCAV","shallow","GP","SC"
"129","lnc",0.923817304940749,0.0901218867258322,10.2507541564368,0.00051058094815517,"SC1","MCAV","shallow","GP","SC"
"130","E",0.0754265934290884,0.147343129419852,0.511911167667419,0.63567995203814,"SC1","MCAV","shallow","GP","SC"
"131","Eh",6.17094685154103,3.8750606114195,1.59247750431457,0.186494677833404,"SC1","MCAV","shallow","GP","SC"
"132","Th",308.904891197707,0.755418247096516,408.919022521626,2.14577746392893e-10,"SC1","MCAV","shallow","GP","SC"
"133","lnc",1.2157897368865,0.193996076331492,6.26708415900645,0.00330786312227681,"MC3","MCAV","deep","GP","MC"
"134","E",0.340328238205935,0.239863988986609,1.41883839939365,0.228944345171226,"MC3","MCAV","deep","GP","MC"
"135","Eh",2.89847628563846,0.823622369142898,3.51918111288643,0.0244681297543342,"MC3","MCAV","deep","GP","MC"
"136","Th",306.289459681802,2.34402958838075,130.667915285739,2.0573389477768e-08,"MC3","MCAV","deep","GP","MC"
"137","lnc",0.838818334901956,0.0255953135502269,32.7723406574373,6.24445553854335e-05,"MC2","MCAV","deep","GP","MC"
"138","E",0.0246911277962281,0.0381105756118734,0.647881261298388,0.56322580636224,"MC2","MCAV","deep","GP","MC"
"139","Eh",113.861199009244,561875212.634273,2.02644993850898e-07,0.999999851034613,"MC2","MCAV","deep","GP","MC"
"140","Th",309.249436385372,33652.8852261083,0.009189388496932,0.993244959548225,"MC2","MCAV","deep","GP","MC"
"141","lnc",0.944865269915374,0.0821391413455549,11.5032279913955,0.000326063978116713,"MC1","MCAV","deep","GP","MC"
"142","E",0.123157880988014,0.113741855398966,1.0827841743571,0.339813200218057,"MC1","MCAV","deep","GP","MC"
"143","Eh",3.42511774311502,0.908458714885411,3.77025140162484,0.0196002071246858,"MC1","MCAV","deep","GP","MC"
"144","Th",308.370519316678,1.07542825262923,286.742066300348,8.87463286242636e-10,"MC1","MCAV","deep","GP","MC"
"145","lnc",32.9709779977063,31378.268031068,0.00105075837726484,0.999227582248859,"SL3","DLAB","shallow","R","SL"
"146","E",29.6758811665818,30491.3396499731,0.000973256062450769,0.9992845545641,"SL3","DLAB","shallow","R","SL"
"147","Eh",29.638512353061,30491.2660041791,0.00097203285521168,0.999285453749527,"SL3","DLAB","shallow","R","SL"
"148","Th",291.894491112511,483.869131581814,0.603250904140713,0.588898322098817,"SL3","DLAB","shallow","R","SL"
"149","lnc",1.31336777884115,4.0872534795095,0.321332597898666,0.764048049711224,"SL2","DLAB","shallow","R","SL"
"150","E",0.53120524811295,1.79083994768071,0.29662351948364,0.781518246951659,"SL2","DLAB","shallow","R","SL"
"151","Eh",0.878353103358323,0.475453284740353,1.84740148306683,0.138405645854319,"SL2","DLAB","shallow","R","SL"
"152","Th",299.046497249783,66.8857875408872,4.47100211038072,0.0110661420335576,"SL2","DLAB","shallow","R","SL"
"153","lnc",44.5613294384076,162795.447078706,0.000273725894907023,0.9997987826763,"SL1","DLAB","shallow","R","SL"
"154","E",41.2799267661506,163047.612750898,0.000253177130714679,0.999813888178887,"SL1","DLAB","shallow","R","SL"
"155","Eh",41.1747906588784,163047.579416677,0.000252532363903753,0.999814362150298,"SL1","DLAB","shallow","R","SL"
