"","fragment.ID.full","Temp.C","fragment.ID","species","temp.Cat","treatment","genotype","rate.type","umol.cm2.hr","log.rate","K","fragment.ID2","fitted","residuals"
"1","1901_ML2h",19.3328224,"ML2h","DLAB",19,"deep","ML2","GP",1.907688384,1.06735839574511,292.4828224,"ML",1.0731056915208,-0.0057472957756961
"2","1902_ML3h",19.53604715,"ML3h","DLAB",19,"deep","ML3","GP",1.938498465,1.07789872469507,292.68604715,"ML",1.07761150972077,0.000287214974299399
"3","1903_ML1h",19.45609129,"ML1h","DLAB",19,"deep","ML1","GP",1.802045291,1.03034961159575,292.60609129,"ML",1.07583980368433,-0.0454901920885813
"4","2101_ML3d",21.40562804,"ML3d","DLAB",21,"deep","ML3","GP",2.004598083,1.10014380962428,294.55562804,"ML",1.11859507703221,-0.0184512674079276
"5","2102_ML2d",21.33626583,"ML2d","DLAB",21,"deep","ML2","GP",2.03904462,1.11154319628821,294.48626583,"ML",1.11709219162157,-0.00554899533336384
"6","2103_ML1d",21.68847457,"ML1d","DLAB",21,"deep","ML1","GP",3.203016731,1.43580253674311,294.83847457,"ML",1.12470646500716,0.311096071735947
"7","2301_ML3c",23.22482466,"ML3c","DLAB",23,"deep","ML3","GP",1.357514239,0.857607775379982,296.37482466,"ML",1.15729455376004,-0.299686778380061
"8","2302_ML1c",23.29036193,"ML1c","DLAB",23,"deep","ML1","GP",2.477334686,1.24626610551151,296.44036193,"ML",1.15865553414662,0.0876105713648889
"9","2303_ML2c",23.4473848,"ML2c","DLAB",23,"deep","ML2","GP",2.165232715,1.15222658053924,296.5973848,"ML",1.16190403698458,-0.00967745644533768
"10","2601_ML3b",26.63997709,"ML3b","DLAB",26,"deep","ML3","GP",2.303033863,1.19484139855107,299.78997709,"ML",1.22091440013981,-0.0260730015887376
"11","2603_ML2b",26.54160015,"ML2b","DLAB",26,"deep","ML2","GP",2.10290991,1.13234035185109,299.69160015,"ML",1.21943733110716,-0.0870969792560732
"12","2901_ML1e",29.2516397,"ML1e","DLAB",29,"deep","ML1","GP",2.446717625,1.23742236511913,302.4016397,"ML",1.23871719139355,-0.00129482627442745
"13","2902_ML2e",29.31765526,"ML2e","DLAB",29,"deep","ML2","GP",2.600936263,1.28119388470449,302.46765526,"ML",1.23831372582458,0.0428801588799042
"14","2903_ML3e",29.52838307,"ML3e","DLAB",29,"deep","ML3","GP",2.54468594,1.26544956367591,302.67838307,"ML",1.23659017480425,0.0288593888716622
"15","3201_ML2g",32.04993069,"ML2g","DLAB",32,"deep","ML2","GP",2.530568568,1.26145892539734,305.19993069,"ML",1.13397230225866,0.127486623138681
"16","3202_ML3g",32.51734596,"ML3g","DLAB",32,"deep","ML3","GP",2.174450326,1.15513449168739,305.66734596,"ML",1.08927417979811,0.0658603118892767
"17","3203_ML1g",32.632899,"ML1g","DLAB",32,"deep","ML1","GP",1.478410509,0.907617430907113,305.782899,"ML",1.07649145947963,-0.16887402857252
"18","3401_ML2f",34.34418364,"ML2f","DLAB",34,"deep","ML2","GP",1.193630705,0.785558027266241,307.49418364,"ML",0.790890862776812,-0.00533283551057007
"19","3402_ML1f",34.20002571,"ML1f","DLAB",34,"deep","ML1","GP",1.665715765,0.980472601294063,307.35002571,"ML",0.822567829570518,0.157904771723545
"20","3403_ML3f",34.0892056,"ML3f","DLAB",34,"deep","ML3","GP",1.113936438,0.74855181982478,307.2392056,"ML",0.845915399983136,-0.097363580158356
"21","3601_ML2a",36.1426323,"ML2a","DLAB",36,"deep","ML2","GP",0.19819857,0.180819237210123,309.2926323,"ML",0.273060361448002,-0.0922411242378785
"22","3602_ML1a",36.13771908,"ML1a","DLAB",36,"deep","ML1","GP",0.201693961,0.183732195541779,309.28771908,"ML",0.27476648936485,-0.0910342938230715
"23","3603_ML3a",36.80486897,"ML3a","DLAB",36,"deep","ML3","GP",0.176430818,0.162485124226383,309.95486897,"ML",0.0305575790630299,0.131927545163353
