"","term","estimate","std.error","statistic","p.value","genotype","species","treatment","rate.type","fragment.ID2"
"1","lnc",0.500469211112238,0.0516093501797968,9.69725852716033,0.0654182238820354,"SF3","OFRA","shallow","R","SF"
"2","E",0.222768574345838,0.0822077891817016,2.70982320000673,0.225060677683747,"SF3","OFRA","shallow","R","SF"
"3","Eh",3.28736050160461,2.1411580603433,1.53531892973728,0.367526932801254,"SF3","OFRA","shallow","R","SF"
"4","Th",312.057579935703,0.923630323170952,337.859825632799,0.00188426638816177,"SF3","OFRA","shallow","R","SF"
"5","lnc",0.546198300381454,0.0627433895831179,8.70527244400607,0.000958849076980302,"SF2","OFRA","shallow","R","SF"
"6","E",0.154248653580798,0.102397484760834,1.50637150845132,0.206440111346881,"SF2","OFRA","shallow","R","SF"
"7","Eh",5.57908683993736,16.0095620865971,0.34848466246357,0.745044927376382,"SF2","OFRA","shallow","R","SF"
"8","Th",312.426788580165,5.88850969685886,53.0570220079326,7.5535648496774e-07,"SF2","OFRA","shallow","R","SF"
"9","lnc",0.52196347952172,0.0268568433626032,19.4350271353382,0.000297571620508013,"SF1","OFRA","shallow","R","SF"
"10","E",0.141015316890268,0.0500320865216187,2.81849762210768,0.0668213038692045,"SF1","OFRA","shallow","R","SF"
"11","Eh",90.6017316629828,280909221.225328,3.22530286716033e-07,0.999999762906311,"SF1","OFRA","shallow","R","SF"
"12","Th",309.22551313422,861564.902975373,0.000358911455267415,0.999736162332637,"SF1","OFRA","shallow","R","SF"
"13","lnc",2.3509221921268,4.48837427764562,0.523780337088997,0.628111150896543,"MF3","OFRA","deep","R","MF"
"14","E",1.16066311135211,2.63777405666093,0.440016122086421,0.682656192074008,"MF3","OFRA","deep","R","MF"
"15","Eh",1.31959450128837,2.07834913005037,0.634924364828147,0.559980285757271,"MF3","OFRA","deep","R","MF"
"16","Th",291.313167691691,17.2002842859127,16.9365321438484,7.12568417058516e-05,"MF3","OFRA","deep","R","MF"
"17","lnc",0.533494012108781,0.030301068922532,17.6064419863443,0.000399424940497513,"MF2","OFRA","deep","R","MF"
