"","fragment.ID.full","Intercept","umol.L.sec","Temp.C","fragment.ID","species","genotype","chamber.channel","run","temp.Cat","light_dark","treatment","surf.area.cm2","volume.mls","volume","umol.sec","BLANK","blank.rate"
"1","1901_Blkh",195.874911632305,-0.000119235863686774,19.2602198123664,"1901Blkh","BLANK","BLANK",10,1901,19,"light","blank",NA,617,0.617,-7.35685278947398e-05,"1",-7.35685278947398e-05
"2","1901_BlkhD",195.859117289218,0.000170626983978533,19.2518354363905,"1901Blkh","BLANK","BLANK",10,1901,19,"dark","blank",NA,617,0.617,0.000105276849114755,"1",0.000105276849114755
"3","1901_MA1h",240.286430767628,0.011000795175058,19.3790268814483,"MA1h","PAST","121",2,1901,19,"light","deep",21.9516272111189,580,0.58,0.00638046120153365,"0",-7.35685278947398e-05
"4","1901_MA1hD",242.697496421479,-0.00415544890592532,19.4234861010071,"MA1h","PAST","121",2,1901,19,"dark","deep",21.9516272111189,580,0.58,-0.00241016036543669,"0",0.000105276849114755
"5","1901_MC1h",216.297337585238,0.00657571592903028,19.3335654629208,"MC1h","MCAV","221",9,1901,19,"light","deep",14.9993449333111,590,0.59,0.00387967239812786,"0",-7.35685278947398e-05
"6","1901_MC1hD",218.433997369372,-0.00227299777867445,19.2924735007879,"MC1h","MCAV","221",9,1901,19,"dark","deep",14.9993449333111,590,0.59,-0.00134106868941792,"0",0.000105276849114755
"7","1901_MF2h",212.894701676491,0.00958281303341672,19.4056001949407,"MF2h","OFRA","322",3,1901,19,"light","deep",18.680193877831,586,0.586,0.0056155284375822,"0",-7.35685278947398e-05
"8","1901_MF2hD",215.873153541224,-0.00459622079721694,19.4379638868021,"MF2h","OFRA","322",3,1901,19,"dark","deep",18.680193877831,586,0.586,-0.00269338538716913,"0",0.000105276849114755
"9","1901_ML2h",200.184863557871,0.0146892958337912,19.3328224044049,"ML2h","DLAB","422",6,1901,19,"light","deep",22.9263301158247,586,0.586,0.00860792735860166,"0",-7.35685278947398e-05
"10","1901_ML2hD",203.927347969135,-0.00573753877316105,19.3338108969844,"ML2h","DLAB","422",6,1901,19,"dark","deep",22.9263301158247,586,0.586,-0.00336219772107237,"0",0.000105276849114755
"11","1901_SA2h",185.106340149294,0.00651259422173386,19.3274430746197,"SA2h","PAST","112",5,1901,19,"light","shallow",17.3134498025607,591,0.591,0.00384894318504471,"0",-7.35685278947398e-05
"12","1901_SA2hD",186.438786840577,-0.00225512743059156,19.3508468096883,"SA2h","PAST","112",5,1901,19,"dark","shallow",17.3134498025607,591,0.591,-0.00133278031147961,"0",0.000105276849114755
"13","1901_SC1h",217.63802414717,0.00745945150690298,19.3942529945339,"SC1h","MCAV","211",4,1901,19,"light","shallow",20.4368248538625,598,0.598,0.00446075200112798,"0",-7.35685278947398e-05
