Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
3257376,2018-12-02 14:04:41,0,OXY4 (PSt7-10),2018-06-27 09:56:10,default,259.13046208968,μmol/L,22.4079213961277,°C,1022,hPa,Humid,36,0,0,19.577,101867.075683224,265386.454439705,25.2,46,0
3257378,2018-12-02 14:04:42,0.0168211483333333,OXY4 (PSt7-10),2018-06-27 09:56:10,default,259.102624044929,μmol/L,22.3956324143287,°C,1022,hPa,Humid,36,0,0,19.582,101835.189213718,265337.744852518,25.2,46,0
3257383,2018-12-02 14:04:43,0.03365711,OXY4 (PSt7-10),2018-06-27 09:56:10,default,259.150345569038,μmol/L,22.3956324143287,°C,1022,hPa,Humid,36,0,0,19.58,101818.73511414,265306.394139326,25.2,46,0
3257387,2018-12-02 14:04:44,0.0503773183333333,OXY4 (PSt7-10),2018-06-27 09:56:10,default,259.128471582496,μmol/L,22.4017768996118,°C,1022,hPa,Humid,36,0,0,19.579,101798.621399163,265286.159104626,25.2,46,0
3257396,2018-12-02 14:04:45,0.0671514183333333,OXY4 (PSt7-10),2018-06-27 09:56:10,default,259.102624044929,μmol/L,22.3956324143287,°C,1022,hPa,Humid,36,0,0,19.582,101792.164698073,265286.18870851,25.2,46,0
3257401,2018-12-02 14:04:46,0.084022345,OXY4 (PSt7-10),2018-06-27 09:56:10,default,259.054913818916,μmol/L,22.3956324143287,°C,1022,hPa,Humid,36,0,0,19.584,101785.680594923,265274.98069074,25.2,46,0
3257410,2018-12-02 14:04:47,0.10003146,OXY4 (PSt7-10),2018-06-27 09:56:10,default,259.054913818916,μmol/L,22.3956324143287,°C,1022,hPa,Humid,36,0,0,19.584,101786.53916903,265270.503376836,25.2,46,0
3257414,2018-12-02 14:04:48,0.116602466666667,OXY4 (PSt7-10),2018-06-27 09:56:10,default,259.150345569038,μmol/L,22.3956324143287,°C,1022,hPa,Humid,36,0,0,19.58,101779.343086677,265276.149263083,25.2,46,0
3257423,2018-12-02 14:04:49,0.133470175,OXY4 (PSt7-10),2018-06-27 09:56:10,default,259.219957288802,μmol/L,22.3894879402765,°C,1022,hPa,Humid,36,0,0,19.579,101773.489437675,265255.856503403,25.2,46,0
3257434,2018-12-02 14:04:50,0.150516116666667,OXY4 (PSt7-10),2018-06-27 09:56:10,default,259.011178860839,μmol/L,22.4079213961277,°C,1022,hPa,Humid,36,0,0,19.582,101772.039809224,265261.470972857,25.2,46,0
