run,fragment.ID.full,fragment.ID,species,genotype,treatment,surf.area.cm2,volume.mls
100,MA2h_pi1,MA2h,PAST,MA,deep,18.61765858,572
200,MA2h_pi2,MA2h,PAST,MA,deep,18.61765858,572
300,MA2h_pi3,MA2h,PAST,MA,deep,18.61765858,572
400,MA2h_pi4,MA2h,PAST,MA,deep,18.61765858,572
500,MA2h_pi5,MA2h,PAST,MA,deep,18.61765858,572
600,MA2h_pi6,MA2h,PAST,MA,deep,18.61765858,572
700,MA2h_pi7,MA2h,PAST,MA,deep,18.61765858,572
800,MA2h_pi8,MA2h,PAST,MA,deep,18.61765858,572
900,MA2h_pi9,MA2h,PAST,MA,deep,18.61765858,572
1000,MA2h_pi10,MA2h,PAST,MA,deep,18.61765858,572
100,MC2h_pi1,MC2h,MCAV,MC,deep,19.1554982,572
200,MC2h_pi2,MC2h,MCAV,MC,deep,19.1554982,572
300,MC2h_pi3,MC2h,MCAV,MC,deep,19.1554982,572
400,MC2h_pi4,MC2h,MCAV,MC,deep,19.1554982,572
500,MC2h_pi5,MC2h,MCAV,MC,deep,19.1554982,572
600,MC2h_pi6,MC2h,MCAV,MC,deep,19.1554982,572
700,MC2h_pi7,MC2h,MCAV,MC,deep,19.1554982,572
800,MC2h_pi8,MC2h,MCAV,MC,deep,19.1554982,572
900,MC2h_pi9,MC2h,MCAV,MC,deep,19.1554982,572
1000,MC2h_pi10,MC2h,MCAV,MC,deep,19.1554982,572
100,MF3h_pi1,MF3h,OFRA,MF,deep,22.72219654,562
200,MF3h_pi2,MF3h,OFRA,MF,deep,22.72219654,562
300,MF3h_pi3,MF3h,OFRA,MF,deep,22.72219654,562
400,MF3h_pi4,MF3h,OFRA,MF,deep,22.72219654,562
500,MF3h_pi5,MF3h,OFRA,MF,deep,22.72219654,562
600,MF3h_pi6,MF3h,OFRA,MF,deep,22.72219654,562
700,MF3h_pi7,MF3h,OFRA,MF,deep,22.72219654,562
800,MF3h_pi8,MF3h,OFRA,MF,deep,22.72219654,562
900,MF3h_pi9,MF3h,OFRA,MF,deep,22.72219654,562
1000,MF3h_pi10,MF3h,OFRA,MF,deep,22.72219654,562
100,ML1h_pi1,ML1h,DLAB,ML,deep,19.7768476,594
200,ML1h_pi2,ML1h,DLAB,ML,deep,19.7768476,594
300,ML1h_pi3,ML1h,DLAB,ML,deep,19.7768476,594
