fragment.ID.full,Temp.C,fragment.ID,species,temp.Cat,treatment,genotype,rate.type,umol.cm2.hr
1901_MA1h,19.37902688,MA1h,PAST,19,deep,MA1,NP,1.058441217
1901_MC1h,19.33356546,MC1h,MCAV,19,deep,MC1,NP,0.948819258
1901_MF2h,19.40560019,MF2h,OFRA,19,deep,MF2,NP,1.096388464
1901_ML2h,19.3328224,ML2h,DLAB,19,deep,ML2,NP,1.363209246
1901_SA2h,19.32744307,SA2h,PAST,19,shallow,SA2,NP,0.815611119
1901_SC1h,19.39425299,SC1h,MCAV,19,shallow,SC1,NP,0.798732387
1901_SF3h,19.49839825,SF3h,OFRA,19,shallow,SF3,NP,1.993354563
1901_SL3h,19.2199366,SL3h,DLAB,19,shallow,SL3,NP,1.20551522
1902_MA3h,19.48575875,MA3h,PAST,19,deep,MA3,NP,1.441664825
1902_MC3h,19.43202313,MC3h,MCAV,19,deep,MC3,NP,1.125751968
1902_MF1h,19.39865554,MF1h,OFRA,19,deep,MF1,NP,1.144883713
1902_ML3h,19.53604715,ML3h,DLAB,19,deep,ML3,NP,1.360193708
1902_SA1h,19.4777328,SA1h,PAST,19,shallow,SA1,NP,1.170172966
1902_SC3h,19.3466441,SC3h,MCAV,19,shallow,SC3,NP,0.527546432
1902_SF2h,19.51564747,SF2h,OFRA,19,shallow,SF2,NP,1.076266856
1902_SL2h,19.42206892,SL2h,DLAB,19,shallow,SL2,NP,1.001582012
1903_MA2h,19.52896285,MA2h,PAST,19,deep,MA2,NP,0.987806412
1903_MC2h,19.42025155,MC2h,MCAV,19,deep,MC2,NP,0.89314929
1903_MF3h,19.49347799,MF3h,OFRA,19,deep,MF3,NP,1.296480959
1903_ML1h,19.45609129,ML1h,DLAB,19,deep,ML1,NP,1.360166486
1903_SA3h,19.65394764,SA3h,PAST,19,shallow,SA3,NP,0.837244928
1903_SC2h,19.42447989,SC2h,MCAV,19,shallow,SC2,NP,0.618123686
1903_SF1h,19.29413575,SF1h,OFRA,19,shallow,SF1,NP,0.656166159
1903_SL1h,19.44925397,SL1h,DLAB,19,shallow,SL1,NP,1.052689642
2101_MA1d,21.45057999,MA1d,PAST,21,deep,MA1,NP,1.16963034
2101_MC1d,21.35530755,MC1d,MCAV,21,deep,MC1,NP,0.701898919
2101_MF2d,21.36124472,MF2d,OFRA,21,deep,MF2,NP,0.955616182
2101_ML3d,21.40562804,ML3d,DLAB,21,deep,ML3,NP,1.372821135
2101_SA1d,21.27303883,SA1d,PAST,21,shallow,SA1,NP,1.610262712
2101_SC2d,21.33298096,SC2d,MCAV,21,shallow,SC2,NP,1.091090124
2101_SF3d,21.40844613,SF3d,OFRA,21,shallow,SF3,NP,1.139253494
2101_SL3d,21.51567396,SL3d,DLAB,21,shallow,SL3,NP,2.168922257
2102_MA3d,21.38205419,MA3d,PAST,21,deep,MA3,NP,1.108795537
2102_MC3d,21.52738297,MC3d,MCAV,21,deep,MC3,NP,1.090409766
2102_MF3d,21.743455,MF3d,OFRA,21,deep,MF3,NP,1.611396663
2102_ML2d,21.33626583,ML2d,DLAB,21,deep,ML2,NP,1.459863652
2102_SA2d,21.34351589,SA2d,PAST,21,shallow,SA2,NP,0.936774489
2102_SC1d,21.45490687,SC1d,MCAV,21,shallow,SC1,NP,1.614396495
2102_SF1d,21.38204952,SF1d,OFRA,21,shallow,SF1,NP,1.227717297
2102_SL1d,21.32639312,SL1d,DLAB,21,shallow,SL1,NP,1.290199313
2103_MA2d,21.49053352,MA2d,PAST,21,deep,MA2,NP,0.430670078
2103_MC2d,21.62496309,MC2d,MCAV,21,deep,MC2,NP,1.034215238
