"","fragment.ID.full","Temp.C","fragment.ID","species","temp.Cat","treatment","genotype","rate.type","umol.cm2.hr","log.rate","K"
"1","1901_MA1h",19.37902688,"MA1h","PAST",19,"deep","MA1","GP",1.470965259,0.904608867417552,292.52902688
"2","1901_MC1h",19.33356546,"MC1h","MCAV",19,"deep","MC1","GP",1.295957347,0.831149901194171,292.48356546
"3","1901_MF2h",19.40560019,"MF2h","OFRA",19,"deep","MF2","GP",1.635739614,0.969163831032747,292.55560019
"4","1901_ML2h",19.3328224,"ML2h","DLAB",19,"deep","ML2","GP",1.907688384,1.06735839574511,292.4828224
"5","1901_SA2h",19.32744307,"SA2h","PAST",19,"shallow","SA2","GP",1.114627539,0.748878692498299,292.47744307
"6","1901_SC1h",19.39425299,"SC1h","MCAV",19,"shallow","SC1","GP",1.065338067,0.725293925846442,292.54425299
"7","1901_SF3h",19.49839825,"SF3h","OFRA",19,"shallow","SF3","GP",2.837185301,1.34473910329655,292.64839825
"8","1901_SL3h",19.2199366,"SL3h","DLAB",19,"shallow","SL3","GP",1.688542355,0.988999171281496,292.3699366
"9","1902_MA3h",19.48575875,"MA3h","PAST",19,"deep","MA3","GP",1.875278379,1.0561494970401,292.63575875
"10","1902_MC3h",19.43202313,"MC3h","MCAV",19,"deep","MC3","GP",1.477020919,0.907056595768291,292.58202313
"11","1902_MF1h",19.39865554,"MF1h","OFRA",19,"deep","MF1","GP",1.686288595,0.988160536484213,292.54865554
"12","1902_ML3h",19.53604715,"ML3h","DLAB",19,"deep","ML3","GP",1.938498465,1.07789872469507,292.68604715
"13","1902_SA1h",19.4777328,"SA1h","PAST",19,"shallow","SA1","GP",1.674691663,0.98383410753609,292.6277328
"14","1902_SC3h",19.3466441,"SC3h","MCAV",19,"shallow","SC3","GP",0.800098668,0.587841478955357,292.4966441
"15","1902_SF2h",19.51564747,"SF2h","OFRA",19,"shallow","SF2","GP",1.59803068,0.954753727262592,292.66564747
"16","1902_SL2h",19.42206892,"SL2h","DLAB",19,"shallow","SL2","GP",1.509425405,0.920053804626224,292.57206892
"17","1903_MA2h",19.52896285,"MA2h","PAST",19,"deep","MA2","GP",1.302222776,0.833875080595574,292.67896285
"18","1903_MC2h",19.42025155,"MC2h","MCAV",19,"deep","MC2","GP",1.224015795,0.799314478431462,292.57025155
"19","1903_MF3h",19.49347799,"MF3h","OFRA",19,"deep","MF3","GP",1.745571621,1.00998929408385,292.64347799
"20","1903_ML1h",19.45609129,"ML1h","DLAB",19,"deep","ML1","GP",1.802045291,1.03034961159575,292.60609129
"21","1903_SA3h",19.65394764,"SA3h","PAST",19,"shallow","SA3","GP",1.167577667,0.773610261556542,292.80394764
"22","1903_SC2h",19.42447989,"SC2h","MCAV",19,"shallow","SC2","GP",0.780322229,0.576794375448578,292.57447989
"23","1903_SF1h",19.29413575,"SF1h","OFRA",19,"shallow","SF1","GP",0.994920492,0.690604195913564,292.44413575
"24","1903_SL1h",19.44925397,"SL1h","DLAB",19,"shallow","SL1","GP",1.573902296,0.945423150411552,292.59925397
"25","2101_MA1d",21.45057999,"MA1d","PAST",21,"deep","MA1","GP",1.516521337,0.922877526037991,294.60057999
"26","2101_MC1d",21.35530755,"MC1d","MCAV",21,"deep","MC1","GP",1.366134508,0.861257614320662,294.50530755
"27","2101_MF2d",21.36124472,"MF2d","OFRA",21,"deep","MF2","GP",1.393573057,0.872787252467958,294.51124472
"28","2101_ML3d",21.40562804,"ML3d","DLAB",21,"deep","ML3","GP",2.004598083,1.10014380962428,294.55562804
"29","2101_SA1d",21.27303883,"SA1d","PAST",21,"shallow","SA1","GP",2.122590859,1.13866306075278,294.42303883
