"","temp.Cat","treatment","genotype","fragment.ID","species","chamber.channel","run","individual.ID","Temp.C","rate.type","umol.cm2.hr","log.rate","K"
"1","19","deep","121","MA1h","PAST",2,1901,"MA1",19.4012564912277,"GP",1.47096525864706,0.904608867274717,292.551256491228
"2","19","deep","221","MC1h","MCAV",9,1901,"MC1",19.3130194818544,"GP",1.2959573473925,0.831149901365124,292.463019481854
"3","19","deep","322","MF2h","OFRA",3,1901,"MF2",19.4217820408714,"GP",1.63573961416972,0.96916383109714,292.571782040871
"4","19","deep","422","ML2h","DLAB",6,1901,"ML2",19.3333166506946,"GP",1.90768838375367,1.06735839566039,292.483316650695
"5","19","shallow","112","SA2h","PAST",5,1901,"SA2",19.339144942154,"GP",1.11462753898229,0.748878692489926,292.489144942154
"6","19","shallow","211","SC1h","MCAV",4,1901,"SC1",19.4049343425093,"GP",1.06533806673632,0.725293925718771,292.554934342509
"7","19","shallow","313","SF3h","OFRA",7,1901,"SF3",19.4957196914282,"GP",2.83718530100796,1.34473910329862,292.645719691428
"8","19","shallow","413","SL3h","DLAB",8,1901,"SL3",19.2178676863203,"GP",1.68854235454785,0.988999171113319,292.36786768632
"9","19","deep","123","MA3h","PAST",2,1902,"MA3",19.4895167883619,"GP",1.87527837888146,1.05614949699887,292.639516788362
"10","19","deep","223","MC3h","MCAV",6,1902,"MC3",19.4182373381087,"GP",1.47702091891352,0.90705659573338,292.568237338109
"11","19","deep","321","MF1h","OFRA",10,1902,"MF1",19.3733165894074,"GP",1.6862885954292,0.988160536643986,292.523316589407
"12","19","deep","423","ML3h","DLAB",1,1902,"ML3",19.5409783141692,"GP",1.93849846512181,1.07789872473652,292.690978314169
"13","19","shallow","111","SA1h","PAST",9,1902,"SA1",19.4374387602098,"GP",1.67469166260354,0.983834107387864,292.58743876021
"14","19","shallow","213","SC3h","MCAV",8,1902,"SC3",19.3273755867443,"GP",0.800098667847046,0.587841478870387,292.477375586744
