"","temp.Cat","light_dark","run","blank.rate"
"193",19,"dark",1901,0.000105276849114755
"194",19,"light",1901,-7.35685278947398e-05
"195",19,"dark",1902,0.000236504451292164
"196",19,"light",1902,-4.53503572121908e-05
"197",19,"dark",1903,-9.41721629280991e-05
"198",19,"light",1903,-7.3264596290787e-05
"199",21,"dark",2101,0.000189668034612015
"200",21,"light",2101,0.000155575264887371
"201",21,"dark",2102,0.000517018158638984
"202",21,"light",2102,0.000266319915889807
"203",21,"dark",2103,7.52723823623163e-05
"204",21,"light",2103,-4.57035133948003e-05
"205",23,"dark",2301,-0.000145636715283185
"206",23,"light",2301,-0.000267682058914226
"207",23,"dark",2302,-0.000466528663238305
"208",23,"light",2302,-0.000507650933597338
"209",23,"dark",2303,-0.000421236357059912
"210",23,"light",2303,-0.000490299248526061
"211",26,"dark",2601,2.02620133151597e-05
"212",26,"light",2601,-0.000123228319412457
"213",26,"dark",2602,-0.0408208868360476
"214",26,"light",2602,-0.000314481220651919
"215",26,"dark",2603,-0.000580402164422764
"216",26,"light",2603,-0.000447148203680617
"217",29,"dark",2901,-0.000633823691297962
"218",29,"light",2901,-0.000571756233336845
"219",29,"dark",2902,-0.000420596878260246
"220",29,"light",2902,-0.00056499698116822
"221",29,"dark",2903,-0.000507161112190137
"222",29,"light",2903,-0.000517207099305119
"223",32,"dark",3201,9.4537916836583e-05
"224",32,"light",3201,-0.000266276818936709
"225",32,"dark",3202,-0.00027888506024907
"226",32,"light",3202,-0.000312110929382772
"227",32,"dark",3203,0.000302288328689125
"228",32,"light",3203,-0.000138744901589552
"229",34,"dark",3401,-0.00116302478659091
"230",34,"light",3401,-0.00144768246321369
"231",34,"dark",3402,-0.000899923725272989
"232",34,"light",3402,-0.0010023558918729
"233",34,"dark",3403,-0.00117875638537798
"234",34,"light",3403,-0.00109919880366199
"235",36,"dark",3601,-0.000419739101744852
"236",36,"light",3601,-0.000421144167144005
"237",36,"dark",3602,-0.000580493980915478
"238",36,"light",3602,-0.000740050257388904
"239",36,"dark",3603,-0.000366966175099661
"240",36,"light",3603,-0.000655823909108322
