"","fragment.ID2","species","genotype","rate.type","treatment","E","Eh","lnc","Th","topt","topt_C","Th_C","Pmax"
"1","MA","PAST","MA1","GP","deep",0.225481253586916,5.09786874509367,1.1442917139826,307.903198653107,304.544435962324,31.3944359623238,34.7531986531069,1.15650954002359
"2","MA","PAST","MA2","GP","deep",0.16667998121363,3.93051519619167,0.850793747075586,308.588828082701,304.141916419554,30.9919164195537,35.4388280827014,0.826250046784209
"3","MA","PAST","MA3","GP","deep",0.128839275268699,3.10227286310371,1.09050897184569,307.107197745566,301.495193916901,28.3451939169006,33.9571977455656,1.00576514657537
"4","MC","MCAV","MC1","GP","deep",0.123157878824928,3.42511775973648,0.944865268545145,308.370519336229,302.903989037879,29.7539890378787,35.2205193362291,0.894888594901782
"5","MC","MCAV","MC2","GP","deep",0.0246911302308996,110.167199062096,0.838818335023482,309.24920772811,308.696213225012,35.5462132250119,36.0992077281099,0.86462958998544
"6","MC","MCAV","MC3","GP","deep",0.340328247071361,2.89847626542269,1.21578974302887,306.289459604381,303.136019584297,29.9860195842974,33.1394596043813,1.06835752545415
"7","MF","OFRA","MF1","GP","deep",0.280205857735576,3.98504283852691,1.26508055259586,306.608348201203,303.2798998382,30.1298998381999,33.4583482012034,1.20194272031807
"8","MF","OFRA","MF2","GP","deep",0.420910669740622,2.6561994790259,1.31917124108666,305.239528300292,302.714006714222,29.5640067142222,32.0895283002925,1.09876774582829
"9","MF","OFRA","MF3","GP","deep",0.470736656227851,3.00151149619152,1.46847185725442,304.562049507467,302.307688164526,29.1576881645259,31.4120495074666,1.24323532290926
"10","ML","DLAB","ML1","GP","deep",0,5.75272824818438,1.22177223947602,308.491100104817,0,-273.15,35.3411001048174,NA
"11","ML","DLAB","ML2","GP","deep",0.176663229166606,5.55365956920519,1.23073949522306,307.908301876513,304.347687065195,31.1976870651949,34.7583018765133,1.24198241077429
"12","ML","DLAB","ML3","GP","deep",0.219671442000797,4.05847478980621,1.20371573952498,307.869398892655,304.059076151166,30.9090761511663,34.7193988926549,1.17560651758551
"13","SA","PAST","SA1","GP","shallow",0,5.64366492542338,1.06697045234703,308.671244910204,0,-273.15,35.5212449102037,NA
"14","SA","PAST","SA2","GP","shallow",0.400283582648586,2.24812304343846,1.19813942677971,305.057578420245,302.489999504446,29.3399995044456,31.9075784202454,0.923082137569086
"15","SA","PAST","SA3","GP","shallow",1.32790955362934,2.28867737292275,2.37424840399971,296.148011936671,297.660762009154,24.5107620091537,22.9980119366705,0.998348749763059
"16","SC","MCAV","SC1","GP","shallow",0.075426594901824,6.17094679246865,0.923817305936081,308.904891188982,304.432721879114,31.2827218791139,35.7548911889818,0.932143832699051
"17","SC","MCAV","SC2","GP","shallow",0.0856731391137161,6.31793501017362,0.845592297168892,309.398138008352,305.146539458496,31.996539458496,36.2481380083522,0.863614724724929
"18","SC","MCAV","SC3","GP","shallow",0.310398643831311,3.30076321480854,0.97341499358618,307.003376521629,303.682243741223,30.5322437412233,33.853376521629,0.885325298423507
"19","SF","OFRA","SF1","GP","shallow",1.08550648619205,2.5365531145027,1.89925425053772,299.85259485485,300.315420108466,27.165420108466,26.7025948548502,1.15074016204458
"20","SF","OFRA","SF2","GP","shallow",0.389873276593315,3.49353711314943,1.31009188494293,306.264842634617,303.528791940453,30.3787919404529,33.1148426346172,1.21289047939551
"21","SF","OFRA","SF3","GP","shallow",0.100349118172933,4.09420414388826,1.18711838145248,307.659617335583,302.354665858409,29.2046658584088,34.5096173355831,1.15089968630924
"22","SL","DLAB","SL1","GP","shallow",0.907724363290217,2.42686737892213,1.91230023314282,300.218775553556,300.27187725754,27.1218772575405,27.0687755535559,1.22506677961312
"23","SL","DLAB","SL2","GP","shallow",0.363547963672458,3.73915758941896,1.35282514090175,306.831688508315,303.970498303014,30.8204983030138,33.6816885083147,1.29491930831342
"24","SL","DLAB","SL3","GP","shallow",0.29479413869508,3.39849061276245,1.36816583537789,306.654818881409,303.246987966975,30.0969879669746,33.5048188814088,1.2728179324769
