"","fragment.ID2","species","genotype","rate.type","treatment","E","Eh","lnc","Th","topt","topt_C","Th_C","Pmax"
"1","MA","PAST","MA1","R","deep",1.62680067744505,1.52126625669646,5.29291555060424,277.386097824691,282.117729544925,8.96772954492513,4.23609782469134,-0.0887320064236004
"2","MA","PAST","MA2","R","deep",0.106480194288717,5.2126749003035,0.36842011596863,312.417417010658,307.82003881605,34.6700388160503,39.2674170106578,0.416927354193226
"3","MA","PAST","MA3","R","deep",0.0948474411719287,2.99632946429645e-06,1.1329935953608,8155.72881281775,-0.00305916801998334,-273.15305916802,7882.57881281775,Inf
"4","MC","MCAV","MC1","R","deep",53.2795504764427,53.2891322400352,57.057663250332,292.110963100816,292.24903059734,19.0990305973403,18.9609631008159,0.0718387826325682
"5","MC","MCAV","MC2","R","deep",0.127133197463437,88.7914002349972,0.378809027163024,309.47997218,308.964888402435,35.8148884024347,36.3299721800003,0.515115789490335
"6","MC","MCAV","MC3","R","deep",3.86175375050079,3.76630844241984,9.9086828595826,281.739537646477,283.61410880737,10.4641088073698,8.58953764647691,-0.125329612126463
"7","MF","OFRA","MF1","R","deep",0.16506214239906,3.19714560611085e-08,1.2599685617611,301.634742594191,-2.25374513052194e-05,-273.150022537451,28.4847425941912,Inf
"8","MF","OFRA","MF2","R","deep",0.115862729252989,55.6823137299413,0.501978560153642,310.621654404467,309.850599329247,36.7005993292474,37.4716544044675,0.636537168453697
"9","MF","OFRA","MF3","R","deep",1.16066312845068,1.31959450662656,2.3509222462629,291.313167348036,296.226790244291,23.076790244291,18.1631673480356,0.535703966084441
"10","ML","DLAB","ML1","R","deep",34.6472675988277,34.5409281944268,38.0659898848263,291.938449163151,292.151953298728,19.0019532987279,18.7884491631507,0.0899687109675524
"11","ML","DLAB","ML2","R","deep",0.0538938818551709,7.56184828006704e-09,1.16614835647907,29433.5262181552,-5.22810088079663e-06,-273.150005228101,29160.3762181552,Inf
"12","ML","DLAB","ML3","R","deep",0.108580307537767,5.44238728769523,0.523310042808979,313.405458184388,308.936004579776,35.7860045797759,40.2554581843885,0.589849075353606
"13","SA","PAST","SA1","R","shallow",3.26289472819148,3.23047292620804,5.91446682457865,287.764843358548,290.013966596352,16.8639665963516,14.6148433585477,0.18625024743513
"14","SA","PAST","SA2","R","shallow",32.6971846015215,32.5967447406856,36.8938199724346,291.698607552177,291.924484540607,18.7744845406073,18.5486075521772,-0.0304924562638764
"15","SA","PAST","SA3","R","shallow",30.3086052642569,30.2771646442323,32.323748403458,292.179870374395,292.423373732026,19.2733737320263,19.0298703743948,0.0570547616670238
"16","SC","MCAV","SC1","R","shallow",0.0974664697867448,87.145367691665,0.334895548375811,309.379868190374,308.832105212578,35.6821052125779,36.2298681903744,0.437763903959539
"17","SC","MCAV","SC2","R","shallow",6.52268320540602,6.42969857439527,8.5889887466416,290.575326701362,291.728102857098,18.5781028570976,17.4253267013615,-0.012794627919624
"18","SC","MCAV","SC3","R","shallow",0.15718409989901,1.58988556394026,0.397160638818431,315.762301526087,308.815326228025,35.6653262280252,42.612301526087,0.329604394838324
"19","SF","OFRA","SF1","R","shallow",3.38715655697692,3.27982071870153,5.91330860372332,287.933576606528,290.200371087658,17.0503710876583,14.783576606528,0.0879313251881497
"20","SF","OFRA","SF2","R","shallow",0.154248655636516,5.57908685056587,0.54619830044049,312.426788558752,308.571573754563,35.4215737545633,39.2767885587522,0.636443865837398
"21","SF","OFRA","SF3","R","shallow",0.0871268780584223,8.75088707861773,0.526145684384301,311.078078917358,307.675021427553,34.525021427553,37.9280789173576,0.581802363461451
"22","SL","DLAB","SL1","R","shallow",83.8971549875962,83.7920185542345,87.1123402884,292.338936428713,292.426991215837,19.2769912158373,19.1889364287132,0.159338051339261
"23","SL","DLAB","SL2","R","shallow",0.531205247725439,0.87835309952983,1.31336778066595,299.046497204511,303.473824971283,30.3238249712833,25.8964972045106,0.565966167377261
"24","SL","DLAB","SL3","R","shallow",69.9180602115488,69.7912576833934,75.0707494996964,292.085354872,292.190956454105,19.0409564541047,18.9353548720002,0.145982411292386
